Username,Condition.Description,Direction,Block,JOL,Recall,Version
961831MM,READ,U,1,24,0,sona
w10025409_jnl,READ,U,1,3,0,sona
w10064595,READ,U,1,0,0,sona
w10070345,READ,U,1,50,100,sona
w981975_sha,READ,U,1,10,0,sona
961831MM,READ,S,1,76,100,sona
w10025409_jnl,READ,S,1,60,0,sona
w10064595,READ,S,1,0,0,sona
w10070345,READ,S,1,50,0,sona
w981975_sha,READ,S,1,75,100,sona
961831MM,READ,U,1,21,0,sona
w10025409_jnl,READ,U,1,10,100,sona
w10064595,READ,U,1,0,100,sona
w10070345,READ,U,1,50,100,sona
w981975_sha,READ,U,1,20,0,sona
961831MM,READ,U,1,2,0,sona
w10025409_jnl,READ,U,1,1,0,sona
w10064595,READ,U,1,10,0,sona
w10070345,READ,U,1,50,100,sona
w981975_sha,READ,U,1,1,0,sona
961831MM,READ,S,1,90,0,sona
w10025409_jnl,READ,S,1,90,100,sona
w10064595,READ,S,1,100,100,sona
w10070345,READ,S,1,50,0,sona
w981975_sha,READ,S,1,90,0,sona
961831MM,READ,B,1,23,0,sona
w10025409_jnl,READ,B,1,60,0,sona
w10064595,READ,B,1,0,0,sona
w10070345,READ,B,1,50,100,sona
w981975_sha,READ,B,1,95,100,sona
961831MM,READ,S,1,100,0,sona
w10025409_jnl,READ,S,1,100,100,sona
w10064595,READ,S,1,99,100,sona
w10070345,READ,S,1,50,100,sona
w981975_sha,READ,S,1,99,100,sona
961831MM,READ,S,1,50,0,sona
w10025409_jnl,READ,S,1,78,100,sona
w10064595,READ,S,1,100,100,sona
w10070345,READ,S,1,50,100,sona
w981975_sha,READ,S,1,100,0,sona
961831MM,READ,F,1,21,0,sona
w10025409_jnl,READ,F,1,30,100,sona
w10064595,READ,F,1,78,100,sona
w10070345,READ,F,1,50,100,sona
w981975_sha,READ,F,1,25,100,sona
961831MM,READ,S,1,76,0,sona
w10025409_jnl,READ,S,1,60,0,sona
w10064595,READ,S,1,90,0,sona
w10070345,READ,S,1,50,100,sona
w981975_sha,READ,S,1,79,100,sona
961831MM,READ,F,1,99,100,sona
w10025409_jnl,READ,F,1,50,100,sona
w10064595,READ,F,1,60,100,sona
w10070345,READ,F,1,50,100,sona
w981975_sha,READ,F,1,90,100,sona
961831MM,READ,B,1,34,100,sona
w10025409_jnl,READ,B,1,50,100,sona
w10064595,READ,B,1,20,0,sona
w10070345,READ,B,1,50,100,sona
w981975_sha,READ,B,1,89,0,sona
961831MM,READ,U,1,20,0,sona
w10025409_jnl,READ,U,1,5,0,sona
w10064595,READ,U,1,90,0,sona
w10070345,READ,U,1,50,100,sona
w981975_sha,READ,U,1,3,0,sona
961831MM,READ,F,1,87,0,sona
w10025409_jnl,READ,F,1,30,0,sona
w10064595,READ,F,1,7,0,sona
w10070345,READ,F,1,50,100,sona
w981975_sha,READ,F,1,80,100,sona
961831MM,READ,S,1,89,0,sona
