"","ExperimentName","Subject","Direction","JOL","Scored","JOL_rounded","condition"
"1","READ_JOL A",13,"F",70,1,70,"READ"
"2","READ_JOL A",13,"F",100,1,100,"READ"
"3","READ_JOL A",13,"F",30,1,30,"READ"
"4","READ_JOL A",13,"F",100,1,100,"READ"
"5","READ_JOL A",13,"F",100,1,100,"READ"
"6","READ_JOL A",13,"F",100,1,100,"READ"
"7","READ_JOL A",13,"F",100,1,100,"READ"
"8","READ_JOL A",13,"F",100,1,100,"READ"
"9","READ_JOL A",13,"F",80,1,80,"READ"
"10","READ_JOL A",13,"F",90,1,90,"READ"
"11","READ_JOL A",13,"F",100,1,100,"READ"
"12","READ_JOL A",13,"F",95,1,100,"READ"
"13","READ_JOL A",13,"F",96,1,100,"READ"
"14","READ_JOL A",13,"F",100,1,100,"READ"
"15","READ_JOL A",13,"F",100,1,100,"READ"
"16","READ_JOL A",13,"F",100,1,100,"READ"
"17","READ_JOL A",13,"B",100,1,100,"READ"
"18","READ_JOL A",13,"B",100,0,100,"READ"
"19","READ_JOL A",13,"B",60,1,60,"READ"
"20","READ_JOL A",13,"B",100,0,100,"READ"
"21","READ_JOL A",13,"B",96,1,100,"READ"
"22","READ_JOL A",13,"B",98,0,100,"READ"
"23","READ_JOL A",13,"B",75,1,80,"READ"
"24","READ_JOL A",13,"B",100,0,100,"READ"
"25","READ_JOL A",13,"B",100,1,100,"READ"
"26","READ_JOL A",13,"B",100,0,100,"READ"
"27","READ_JOL A",13,"B",100,0,100,"READ"
"28","READ_JOL A",13,"B",100,0,100,"READ"
"29","READ_JOL A",13,"B",80,1,80,"READ"
"30","READ_JOL A",13,"B",100,1,100,"READ"
"31","READ_JOL A",13,"B",100,0,100,"READ"
"32","READ_JOL A",13,"B",100,0,100,"READ"
"33","READ_JOL A",13,"B",100,1,100,"READ"
"34","READ_JOL A",13,"B",100,0,100,"READ"
"35","READ_JOL A",13,"B",100,1,100,"READ"
"36","READ_JOL A",13,"B",95,1,100,"READ"
"37","READ_JOL A",13,"S",100,1,100,"READ"
"38","READ_JOL A",13,"S",100,1,100,"READ"
"39","READ_JOL A",13,"S",100,0,100,"READ"
"40","READ_JOL A",13,"S",100,0,100,"READ"
"41","READ_JOL A",13,"S",100,0,100,"READ"
"42","READ_JOL A",13,"S",98,1,100,"READ"
"43","READ_JOL A",13,"S",100,1,100,"READ"
"44","READ_JOL A",13,"S",90,1,90,"READ"
"45","READ_JOL A",13,"S",78,1,80,"READ"
"46","READ_JOL A",13,"S",100,1,100,"READ"
"47","READ_JOL A",13,"S",100,1,100,"READ"
"48","READ_JOL A",13,"S",100,1,100,"READ"
