"","ExperimentName","Subject","Direction","JOL","Scored","JOL_rounded","condition"
"1","IS_JOL A",5,"F",75,0,80,"IS"
"2","IS_JOL A",5,"F",75,0,80,"IS"
"3","IS_JOL A",5,"F",60,0,60,"IS"
"4","IS_JOL A",5,"F",55,1,60,"IS"
"5","IS_JOL A",5,"F",85,1,80,"IS"
"6","IS_JOL A",5,"F",35,0,40,"IS"
"7","IS_JOL A",5,"F",80,1,80,"IS"
"8","IS_JOL A",5,"F",60,1,60,"IS"
"9","IS_JOL A",5,"F",90,0,90,"IS"
"10","IS_JOL A",5,"F",95,1,100,"IS"
"11","IS_JOL A",5,"F",75,0,80,"IS"
"12","IS_JOL A",5,"F",85,1,80,"IS"
"13","IS_JOL A",5,"F",50,1,50,"IS"
"14","IS_JOL A",5,"F",90,1,90,"IS"
"15","IS_JOL A",5,"F",80,1,80,"IS"
"16","IS_JOL A",5,"F",80,1,80,"IS"
"17","IS_JOL A",5,"F",80,1,80,"IS"
"18","IS_JOL A",5,"F",95,1,100,"IS"
"19","IS_JOL A",5,"F",70,1,70,"IS"
"20","IS_JOL A",5,"F",90,1,90,"IS"
"21","IS_JOL A",5,"B",100,1,100,"IS"
"22","IS_JOL A",5,"B",75,0,80,"IS"
"23","IS_JOL A",5,"B",75,0,80,"IS"
"24","IS_JOL A",5,"B",65,0,60,"IS"
"25","IS_JOL A",5,"B",75,0,80,"IS"
"26","IS_JOL A",5,"B",90,1,90,"IS"
"27","IS_JOL A",5,"B",85,0,80,"IS"
"28","IS_JOL A",5,"B",95,1,100,"IS"
"29","IS_JOL A",5,"B",100,1,100,"IS"
"30","IS_JOL A",5,"B",75,0,80,"IS"
"31","IS_JOL A",5,"B",30,0,30,"IS"
"32","IS_JOL A",5,"B",80,0,80,"IS"
"33","IS_JOL A",5,"B",85,0,80,"IS"
"34","IS_JOL A",5,"B",70,0,70,"IS"
"35","IS_JOL A",5,"B",80,1,80,"IS"
"36","IS_JOL A",5,"B",80,0,80,"IS"
"37","IS_JOL A",5,"B",85,1,80,"IS"
"38","IS_JOL A",5,"B",90,1,90,"IS"
"39","IS_JOL A",5,"B",100,1,100,"IS"
"40","IS_JOL A",5,"B",100,1,100,"IS"
"41","IS_JOL A",5,"S",80,1,80,"IS"
"42","IS_JOL A",5,"S",90,0,90,"IS"
"43","IS_JOL A",5,"S",90,0,90,"IS"
"44","IS_JOL A",5,"S",40,0,40,"IS"
"45","IS_JOL A",5,"S",100,0,100,"IS"
"46","IS_JOL A",5,"S",15,1,20,"IS"
"47","IS_JOL A",5,"S",95,1,100,"IS"
"48","IS_JOL A",5,"S",90,1,90,"IS"
"49","IS_JOL A",5,"S",100,1,100,"IS"
"50","IS_JOL A",5,"S",70,1,70,"IS"
"51","IS_JOL A",5,"S",100,1,100,"IS"
"52","IS_JOL A",5,"S",100,0,100,"IS"
"53","IS_JOL A",5,"S",100,1,100,"IS"
"54","IS_JOL A",5,"S",100,1,100,"IS"
"55","IS_JOL A",5,"S",100,1,100,"IS"
"56","IS_JOL A",5,"S",100,1,100,"IS"
"57","IS_JOL A",5,"S",70,1,70,"IS"
"58","IS_JOL A",5,"S",100,1,100,"IS"
"59","IS_JOL A",5,"S",100,1,100,"IS"
"60","IS_JOL A",5,"S",100,1,100,"IS"
"61","IS_JOL A",5,"U",10,0,10,"IS"
"62","IS_JOL A",5,"U",10,0,10,"IS"
"63","IS_JOL A",5,"U",25,0,20,"IS"
"64","IS_JOL A",5,"U",20,0,20,"IS"
"65","IS_JOL A",5,"U",40,0,40,"IS"
"66","IS_JOL A",5,"U",10,0,10,"IS"
"67","IS_JOL A",5,"U",70,1,70,"IS"
"68","IS_JOL A",5,"U",15,0,20,"IS"
"69","IS_JOL A",5,"U",30,1,30,"IS"
"70","IS_JOL A",5,"U",80,0,80,"IS"
"71","IS_JOL A",5,"U",55,0,60,"IS"
"72","IS_JOL A",5,"U",60,1,60,"IS"
"73","IS_JOL A",5,"U",35,0,40,"IS"
"74","IS_JOL A",5,"U",20,0,20,"IS"
"75","IS_JOL A",5,"U",35,0,40,"IS"
"76","IS_JOL A",5,"U",40,0,40,"IS"
"77","IS_JOL A",5,"U",0,0,0,"IS"
"78","IS_JOL A",5,"U",10,0,10,"IS"
"79","IS_JOL A",5,"U",20,0,20,"IS"
"80","IS_JOL A",5,"U",30,1,30,"IS"
"81","IS_JOL A",5,"F",50,0,50,"IS"
"82","IS_JOL A",5,"F",85,0,80,"IS"
"83","IS_JOL A",5,"F",60,1,60,"IS"
"84","IS_JOL A",5,"F",65,1,60,"IS"
"85","IS_JOL A",5,"F",50,0,50,"IS"
"86","IS_JOL A",5,"F",NA,0,NA,"IS"
"87","IS_JOL A",5,"F",90,1,90,"IS"
"88","IS_JOL A",5,"F",60,1,60,"IS"
"89","IS_JOL A",5,"F",70,1,70,"IS"
"90","IS_JOL A",5,"F",80,1,80,"IS"
"91","IS_JOL A",5,"F",100,1,100,"IS"
"92","IS_JOL A",5,"F",90,1,90,"IS"
"93","IS_JOL A",5,"F",80,1,80,"IS"
"94","IS_JOL A",5,"F",50,1,50,"IS"
"95","IS_JOL A",5,"F",60,1,60,"IS"
"96","IS_JOL A",5,"F",80,1,80,"IS"
"97","IS_JOL A",5,"F",40,1,40,"IS"
"98","IS_JOL A",5,"F",50,0,50,"IS"
"99","IS_JOL A",5,"F",60,1,60,"IS"
"100","IS_JOL A",5,"F",80,0,80,"IS"
"101","IS_JOL A",5,"B",30,0,30,"IS"
"102","IS_JOL A",5,"B",60,0,60,"IS"
"103","IS_JOL A",5,"B",90,0,90,"IS"
"104","IS_JOL A",5,"B",50,0,50,"IS"
"105","IS_JOL A",5,"B",80,0,80,"IS"
"106","IS_JOL A",5,"B",75,1,80,"IS"
"107","IS_JOL A",5,"B",70,0,70,"IS"
"108","IS_JOL A",5,"B",70,0,70,"IS"
"109","IS_JOL A",5,"B",80,1,80,"IS"
"110","IS_JOL A",5,"B",30,0,30,"IS"
"111","IS_JOL A",5,"B",80,0,80,"IS"
"112","IS_JOL A",5,"B",70,1,70,"IS"
"113","IS_JOL A",5,"B",80,1,80,"IS"
"114","IS_JOL A",5,"B",80,0,80,"IS"
"115","IS_JOL A",5,"B",0,1,0,"IS"
"116","IS_JOL A",5,"B",80,1,80,"IS"
"117","IS_JOL A",5,"B",70,0,70,"IS"
"118","IS_JOL A",5,"B",9,0,10,"IS"
"119","IS_JOL A",5,"B",80,0,80,"IS"
"120","IS_JOL A",5,"B",96,0,100,"IS"
"121","IS_JOL A",5,"S",95,0,100,"IS"
"122","IS_JOL A",5,"S",85,0,80,"IS"
"123","IS_JOL A",5,"S",100,1,100,"IS"
"124","IS_JOL A",5,"S",100,0,100,"IS"
"125","IS_JOL A",5,"S",100,1,100,"IS"
"126","IS_JOL A",5,"S",75,1,80,"IS"
"127","IS_JOL A",5,"S",75,0,80,"IS"
"128","IS_JOL A",5,"S",100,0,100,"IS"
"129","IS_JOL A",5,"S",55,1,60,"IS"
"130","IS_JOL A",5,"S",85,0,80,"IS"
"131","IS_JOL A",5,"S",100,0,100,"IS"
"132","IS_JOL A",5,"S",80,1,80,"IS"
"133","IS_JOL A",5,"S",90,1,90,"IS"
"134","IS_JOL A",5,"S",100,1,100,"IS"
"135","IS_JOL A",5,"S",100,1,100,"IS"
"136","IS_JOL A",5,"S",100,1,100,"IS"
"137","IS_JOL A",5,"S",100,1,100,"IS"
"138","IS_JOL A",5,"S",90,0,90,"IS"
"139","IS_JOL A",5,"S",80,0,80,"IS"
"140","IS_JOL A",5,"S",100,0,100,"IS"
"141","IS_JOL A",5,"U",15,0,20,"IS"
"142","IS_JOL A",5,"U",7,0,10,"IS"
"143","IS_JOL A",5,"U",20,0,20,"IS"
"144","IS_JOL A",5,"U",10,0,10,"IS"
"145","IS_JOL A",5,"U",35,0,40,"IS"
"146","IS_JOL A",5,"U",50,0,50,"IS"
"147","IS_JOL A",5,"U",20,0,20,"IS"
"148","IS_JOL A",5,"U",1,0,0,"IS"
"149","IS_JOL A",5,"U",55,0,60,"IS"
"150","IS_JOL A",5,"U",40,0,40,"IS"
"151","IS_JOL A",5,"U",10,1,10,"IS"
"152","IS_JOL A",5,"U",75,0,80,"IS"
"153","IS_JOL A",5,"U",10,0,10,"IS"
"154","IS_JOL A",5,"U",0,0,0,"IS"
"155","IS_JOL A",5,"U",50,0,50,"IS"
"156","IS_JOL A",5,"U",80,1,80,"IS"
"157","IS_JOL A",5,"U",0,0,0,"IS"
"158","IS_JOL A",5,"U",65,1,60,"IS"
"159","IS_JOL A",5,"U",65,1,60,"IS"
"160","IS_JOL A",5,"U",0,0,0,"IS"
"161","IS_JOL B",6,"F",99,0,100,"IS"
"162","IS_JOL B",6,"F",75,0,80,"IS"
"163","IS_JOL B",6,"F",60,0,60,"IS"
"164","IS_JOL B",6,"F",99,0,100,"IS"
"165","IS_JOL B",6,"F",50,0,50,"IS"
"166","IS_JOL B",6,"F",30,1,30,"IS"
"167","IS_JOL B",6,"F",99,0,100,"IS"
"168","IS_JOL B",6,"F",50,0,50,"IS"
"169","IS_JOL B",6,"F",99,1,100,"IS"
"170","IS_JOL B",6,"F",99,0,100,"IS"
"171","IS_JOL B",6,"F",99,1,100,"IS"
"172","IS_JOL B",6,"F",90,1,90,"IS"
"173","IS_JOL B",6,"F",45,0,40,"IS"
"174","IS_JOL B",6,"F",85,0,80,"IS"
"175","IS_JOL B",6,"F",50,1,50,"IS"
"176","IS_JOL B",6,"F",99,0,100,"IS"
"177","IS_JOL B",6,"F",50,0,50,"IS"
"178","IS_JOL B",6,"F",80,1,80,"IS"
"179","IS_JOL B",6,"F",75,1,80,"IS"
"180","IS_JOL B",6,"F",99,1,100,"IS"
"181","IS_JOL B",6,"B",99,0,100,"IS"
"182","IS_JOL B",6,"B",80,0,80,"IS"
"183","IS_JOL B",6,"B",99,0,100,"IS"
