"","ExperimentName","Subject","Direction","JOL","Scored","JOL_rounded","condition"
"1","RL_JOL A",9,"F",80,0,80,"RL"
"2","RL_JOL A",9,"F",70,0,70,"RL"
"3","RL_JOL A",9,"F",60,0,60,"RL"
"4","RL_JOL A",9,"F",70,1,70,"RL"
"5","RL_JOL A",9,"F",80,0,80,"RL"
"6","RL_JOL A",9,"F",65,1,60,"RL"
"7","RL_JOL A",9,"F",95,0,100,"RL"
"8","RL_JOL A",9,"F",60,0,60,"RL"
"9","RL_JOL A",9,"F",80,0,80,"RL"
"10","RL_JOL A",9,"F",100,1,100,"RL"
"11","RL_JOL A",9,"F",65,1,60,"RL"
"12","RL_JOL A",9,"F",100,1,100,"RL"
"13","RL_JOL A",9,"F",50,1,50,"RL"
"14","RL_JOL A",9,"F",50,1,50,"RL"
"15","RL_JOL A",9,"F",95,1,100,"RL"
"16","RL_JOL A",9,"F",90,0,90,"RL"
"17","RL_JOL A",9,"F",90,1,90,"RL"
"18","RL_JOL A",9,"F",100,1,100,"RL"
"19","RL_JOL A",9,"F",75,1,80,"RL"
"20","RL_JOL A",9,"F",100,1,100,"RL"
"21","RL_JOL A",9,"B",80,0,80,"RL"
"22","RL_JOL A",9,"B",100,0,100,"RL"
"23","RL_JOL A",9,"B",100,0,100,"RL"
"24","RL_JOL A",9,"B",70,0,70,"RL"
"25","RL_JOL A",9,"B",100,0,100,"RL"
"26","RL_JOL A",9,"B",95,0,100,"RL"
"27","RL_JOL A",9,"B",90,1,90,"RL"
"28","RL_JOL A",9,"B",100,1,100,"RL"
"29","RL_JOL A",9,"B",80,0,80,"RL"
"30","RL_JOL A",9,"B",90,0,90,"RL"
"31","RL_JOL A",9,"B",60,0,60,"RL"
"32","RL_JOL A",9,"B",100,1,100,"RL"
"33","RL_JOL A",9,"B",60,0,60,"RL"
"34","RL_JOL A",9,"B",78,0,80,"RL"
"35","RL_JOL A",9,"B",80,1,80,"RL"
"36","RL_JOL A",9,"B",70,0,70,"RL"
"37","RL_JOL A",9,"B",90,1,90,"RL"
"38","RL_JOL A",9,"B",90,0,90,"RL"
"39","RL_JOL A",9,"B",95,0,100,"RL"
"40","RL_JOL A",9,"B",90,0,90,"RL"
"41","RL_JOL A",9,"S",95,1,100,"RL"
"42","RL_JOL A",9,"S",65,0,60,"RL"
"43","RL_JOL A",9,"S",20,0,20,"RL"
"44","RL_JOL A",9,"S",75,1,80,"RL"
"45","RL_JOL A",9,"S",70,0,70,"RL"
"46","RL_JOL A",9,"S",40,0,40,"RL"
"47","RL_JOL A",9,"S",67,0,70,"RL"
"48","RL_JOL A",9,"S",70,1,70,"RL"
"49","RL_JOL A",9,"S",100,1,100,"RL"
"50","RL_JOL A",9,"S",65,0,60,"RL"
"51","RL_JOL A",9,"S",100,1,100,"RL"
"52","RL_JOL A",9,"S",70,0,70,"RL"
"53","RL_JOL A",9,"S",100,1,100,"RL"
"54","RL_JOL A",9,"S",95,1,100,"RL"
"55","RL_JOL A",9,"S",75,0,80,"RL"
"56","RL_JOL A",9,"S",100,1,100,"RL"
