Average,Upper,Lower,JOL_Bin,Direction,Encoding
14.28571429,25.83178465,2.73964392,0,B,IS
20.92181467,33.73894958,8.104679759,10,B,IS
23.49324324,38.22637854,8.760107942,20,B,IS
34.7035607,48.00840747,21.39871394,30,B,IS
36.09308582,52.16523807,20.02093357,40,B,IS
42.52786843,57.70786145,27.34787541,50,B,IS
41.13897954,56.96740746,25.31055162,60,B,IS
38.3666763,54.39801522,22.33533737,70,B,IS
36.71977248,50.75685108,22.68269387,80,B,IS
37.80520665,53.24121726,22.36919604,90,B,IS
51.47058824,67.47955885,35.46161762,100,B,IS
33.33333333,49.75240654,16.91426013,0,F,IS
49.53703704,65.43473631,33.63933777,10,F,IS
63.42592593,76.89634135,49.9555105,20,F,IS
76.08315863,90.04626792,62.12004934,30,F,IS
75.44458903,89.2556276,61.63355045,40,F,IS
75.80690787,89.53161875,62.08219699,50,F,IS
79.10495972,92.81723316,65.39268627,60,F,IS
78.14192772,89.51956269,66.76429274,70,F,IS
75.65542587,89.97051455,61.34033719,80,F,IS
72.81742527,87.71749141,57.91735912,90,F,IS
76.85185185,90.32501464,63.37868907,100,F,IS
50,67.41505701,32.58494299,0,S,IS
49.11111111,64.62567699,33.59654523,10,S,IS
55.3015873,70.87808782,39.72508678,20,S,IS
61.96825397,76.94414791,46.99236003,30,S,IS
63.51073763,79.55231041,47.46916484,40,S,IS
63.46061232,78.36067846,48.56054617,50,S,IS
71.44041029,86.41824073,56.46257986,60,S,IS
69.30533404,82.78388378,55.82678431,70,S,IS
69.37413349,84.96374003,53.78452695,80,S,IS
67.58916047,82.48922662,52.68909433,90,S,IS
71.91780822,86.25586916,57.57974728,100,S,IS
5.213270142,12.29802354,0,0,U,IS
13.79755738,23.58732091,4.007793843,10,U,IS
20.10577768,34.10257365,6.108981704,20,U,IS
26.96223317,40.80894388,13.11552246,30,U,IS
35.72413793,50.69416243,20.75411344,40,U,IS
39.79937304,56.0119088,23.58683728,50,U,IS
46.12121212,62.16278491,30.07963934,60,U,IS
42.12121212,58.72581747,25.51660678,70,U,IS
38.33333333,55.74839034,20.91827633,80,U,IS
21.66666667,36.38507619,6.948257142,90,U,IS
0,0,0,100,U,IS
20.68965517,34.54693993,6.832370418,0,B,RL
17.26692209,28.47149632,6.062347865,10,B,RL
21.48148148,35.15682463,7.806138336,20,B,RL
30.05847953,46.24494626,13.87201281,30,B,RL
32.05847953,48.71725992,15.39969915,40,B,RL
29.64302059,44.53684087,14.74920032,50,B,RL
32.27459954,47.36641341,17.18278567,60,B,RL
