Average,Upper,Lower,JOL_Bin,Direction,Encoding
33.33333333,50.69138509,15.97528158,0,B,IS
18.25396825,27.23761352,9.270322983,10,B,IS
16.66666667,28.71949157,4.61384176,20,B,IS
20.16806723,35.72819727,4.607937181,30,B,IS
29.77397856,42.78090922,16.76704789,40,B,IS
29.02209886,45.81370204,12.23049568,50,B,IS
35.4585865,50.45899092,20.45818207,60,B,IS
30.0854794,46.48967351,13.68128528,70,B,IS
37.54161975,52.5818287,22.5014108,80,B,IS
42.14585609,59.05853293,25.23317926,90,B,IS
50.76923077,67.70488221,33.83357933,100,B,IS
20,35.03251378,4.967486219,0,F,IS
30,46.23697064,13.76302936,10,F,IS
36.36363636,53.3225991,19.40467363,20,F,IS
56,73.02947848,38.97052152,30,F,IS
64.70588235,81.26373939,48.14802531,40,F,IS
58.62068966,75.32045111,41.9209282,50,F,IS
55.88235294,72.82349228,38.94121361,60,F,IS
74.50980392,89.30463453,59.71497331,70,F,IS
75.29411765,89.87779815,60.71043714,80,F,IS
75.55555556,90.08222826,61.02888286,90,F,IS
72.4137931,87.52446085,57.30312535,100,F,IS
62.5,79.89675426,45.10324574,0,S,IS
46.28787879,63.24684152,29.32891605,10,S,IS
36.56565657,53.92370832,19.20760481,20,S,IS
36.44444444,52.99469742,19.89419147,30,S,IS
43.11111111,59.5784049,26.64381732,40,S,IS
51.79166667,68.46874336,35.11458998,50,S,IS
60.0297619,76.80270422,43.25681959,60,S,IS
58.125,74.84269965,41.40730035,70,S,IS
61.03448276,77.90039495,44.16857057,80,S,IS
66.66305419,82.39755995,50.92854843,90,S,IS
77.6,91.67069815,63.52930185,100,S,IS
7.608695652,16.54526099,0,0,U,IS
9.223445856,18.62125145,0,10,U,IS
9.913020424,20.81573243,0,20,U,IS
11.26844211,21.37061465,1.166269575,30,U,IS
15.72580645,27.08159635,4.370016554,40,U,IS
25,39.82225848,10.17774152,50,U,IS
31.94444444,49.34119871,14.54769018,60,U,IS
31.94444444,49.3024962,14.58639269,70,U,IS
27.77777778,42.98015586,12.57539969,80,U,IS
33.33333333,48.89346338,17.77320329,90,U,IS
50,69.40689184,30.59310816,100,U,IS
36.36363636,54.72647194,18.00080079,0,B,RL
34.97835498,52.7379242,17.21878576,10,B,RL
28.41269841,47.20765983,9.617736994,20,B,RL
33.7037037,47.87093892,19.53646848,30,B,RL
33.19088319,52.37341036,14.00835602,40,B,RL
37.82051282,55.87812766,19.76289798,50,B,RL
37.14711215,54.15060514,20.14361915,60,B,RL
44.73476259,63.00170803,26.46781715,70,B,RL
52.940382,70.85781717,35.02294684,80,B,RL
59.37509955,77.63369268,41.11650642,90,B,RL
61.72839506,79.52902692,43.9277632,100,B,RL
50,69.45463335,30.54536665,0,F,RL
69.04761905,87.01889395,51.07634415,10,F,RL
81.54761905,101.0022524,62.0929857,20,F,RL
63.02910053,75.89713095,50.16107011,30,F,RL
67.79100529,86.97353246,48.60847812,40,F,RL
63.62433862,80.36822106,46.88045619,50,F,RL
75.30525031,91.47472481,59.1357758,60,F,RL
78.32499479,93.21376444,63.43622513,70,F,RL
80.6398096,95.24264238,66.03697683,80,F,RL
82.13150449,96.22956375,68.03344523,90,F,RL
83.96226415,97.3815361,70.5429922,100,F,RL
50,69.93506701,30.06493299,0,S,RL
63.33333333,81.4493174,45.21734927,10,S,RL
60,79.93506701,40.06493299,20,S,RL
43.33333333,62.12829475,24.53837192,30,S,RL
46.66666667,65.84919384,27.4841395,40,S,RL
49.20634921,67.87725012,30.5354483,50,S,RL
53.37301587,71.99940921,34.74662254,60,S,RL
57.16089466,75.06311331,39.25867601,70,S,RL
69.21580672,87.14260985,51.28900359,80,S,RL
75.26419381,88.77142242,61.75696521,90,S,RL
80.64516129,95.08290389,66.20741869,100,S,RL
10.25641026,21.32705524,0,0,U,RL
13.46700512,25.87002603,1.063984214,10,U,RL
11.63550329,25.62717739,0,20,U,RL
19.33442802,27.27674883,11.39210722,30,U,RL
35.80952381,53.63998979,17.97905782,40,U,RL
47.55555556,65.00623914,30.10487197,50,U,RL
52.22222222,72.15728923,32.28715522,60,U,RL
30,51.01340568,8.986594317,70,U,RL
33.33333333,33.33333333,33.33333333,80,U,RL
41.66666667,62.68007235,20.65326098,90,U,RL
75,93.19814314,56.80185686,100,U,RL
11.16666667,22.19356381,0.139769523,0,B,READ
17.54607952,30.10012678,4.992032266,10,B,READ
23.8238573,39.14262848,8.505086129,20,B,READ
22.04009662,37.94277871,6.137414524,30,B,READ
25.2037037,35.6107828,14.79662461,40,B,READ
26.70643594,43.21760213,10.19526975,50,B,READ
37.5619915,53.88731929,21.23666371,60,B,READ
30.18051002,47.23255991,13.12846013,70,B,READ
23.23838384,35.02180519,11.45496248,80,B,READ
27.59856902,39.43675807,15.76037998,90,B,READ
55.68055556,72.7058031,38.65530801,100,B,READ
20.1,34.46833797,5.731662025,0,F,READ
28.42354497,43.00928844,13.83780151,10,F,READ
35.83892959,53.02277162,18.65508756,20,F,READ
52.5509347,69.72993814,35.37193125,30,F,READ
54.19858928,69.7180179,38.67916067,40,F,READ
60.69313374,77.83994875,43.54631874,50,F,READ
58.21286037,74.92239345,41.50332728,60,F,READ
58.16232358,74.62472208,41.69992508,70,F,READ
57.08698569,74.24848436,39.92548703,80,F,READ
56.28423,73.2109585,39.35750149,90,F,READ
62.56470588,79.1003754,46.02903636,100,F,READ
14.57142857,27.42530194,1.717555202,0,S,READ
23.47186147,39.40892778,7.534795159,10,S,READ
34.48773449,50.28186458,18.69360439,20,S,READ
41.5968254,59.0578932,24.13575759,30,S,READ
47.81515424,65.1072384,30.52307008,40,S,READ
50.38894688,67.56594875,33.211945,50,S,READ
48.82436354,65.96245688,31.68627021,60,S,READ
49.39846449,66.5477289,32.24920009,70,S,READ
44.99513424,62.19476778,27.79550071,80,S,READ
47.26006122,64.19547837,30.32464407,90,S,READ
50.70103093,67.7844487,33.61761316,100,S,READ
5.434108527,13.19293165,0,0,U,READ
10.19626031,17.01592528,3.376595337,10,U,READ
16.95631937,31.05284424,2.859794498,20,U,READ
21.47132537,36.60113799,6.341512751,30,U,READ
20.06489262,33.26742721,6.862358039,40,U,READ
15.85578289,28.76339636,2.948169421,50,U,READ
13.30676329,25.050064,1.563462569,60,U,READ
16.02898551,26.81843041,5.239540609,70,U,READ
16.21212121,33.2717315,0,80,U,READ
32.57575758,44.56013676,20.59137839,90,U,READ
59.09090909,76.26093872,41.92087946,100,U,READ
