Average,Upper,Lower,JOL_Bin,Direction,Encoding
8.541666667,17.74445494,0,0,B,IS
13.72396215,24.26559777,3.182326528,10,B,IS
17.85348411,31.32147573,4.385492494,20,B,IS
22.05912785,35.50554751,8.612708196,30,B,IS
26.53173857,40.62896291,12.43451424,40,B,IS
27.78330489,43.37723723,12.18937255,50,B,IS
32.0498416,46.2221265,17.8775567,60,B,IS
31.55717298,47.39057868,15.72376728,70,B,IS
37.56441803,52.98365016,22.14518591,80,B,IS
39.86131257,56.06095675,23.66166839,90,B,IS
43.76436782,59.98875112,27.53998451,100,B,IS
11.82352941,22.66536632,0.981692508,0,F,IS
23.31996435,38.56529261,8.074636092,10,F,IS
33.56318504,48.39101443,18.73535565,20,F,IS
41.49821098,57.82398783,25.17243412,30,F,IS
49.63923662,66.12409086,33.15438237,40,F,IS
56.35879426,72.7067171,40.01087142,50,F,IS
60.68609155,76.61833819,44.75384492,60,F,IS
66.94255695,82.33834774,51.54676616,70,F,IS
70.62526882,85.47151533,55.7790223,80,F,IS
73.03751304,87.43322797,58.64179811,90,F,IS
74.32673267,88.60624455,60.0472208,100,F,IS
33.55555556,49.34892747,17.76218364,0,S,IS
33.65608466,47.57348807,19.73868125,10,S,IS
31.8042328,48.31285799,15.29560762,20,S,IS
32.74074074,47.71048801,17.77099347,30,S,IS
34.76628352,49.21178946,20.32077759,40,S,IS
44.06530313,60.47330398,27.65730228,50,S,IS
56.45846553,72.79356761,40.12336344,60,S,IS
56.65375259,72.53233772,40.77516746,70,S,IS
59.36139965,75.72229516,43.00050414,80,S,IS
59.06168053,74.77235964,43.35100141,90,S,IS
61.94699647,77.79873135,46.09526158,100,S,IS
9.350125945,18.85566631,0,0,U,IS
9.826987169,19.47963154,0.174342799,10,U,IS
10.9880563,21.057463,0.918649593,20,U,IS
12.46491228,23.45510218,1.474722379,30,U,IS
13.81674641,25.26439826,2.369094559,40,U,IS
17.8931353,29.51141321,6.274857387,50,U,IS
24.34810606,38.94513274,9.751079378,60,U,IS
21.27697368,37.20095057,5.352996794,70,U,IS
18.50614035,25.99276463,11.01951607,80,U,IS
19.87280702,32.57591795,7.169696089,90,U,IS
37.5,54.4066062,20.5933938,100,U,IS
11.9047619,23.44313333,0.366390477,0,B,RL
31.41923436,47.95279519,14.88567353,10,B,RL
36.05313093,54.16473938,17.94152248,20,B,RL
42.91587603,58.5741058,27.25764626,30,B,RL
38.9943074,56.94420182,21.04441298,40,B,RL
40.2879902,57.78546629,22.7905141,50,B,RL
38.13745256,54.34801264,21.92689248,60,B,RL
