Average,Upper,Lower,JOL_Bin,Direction,Encoding
22.36842105,31.86465208,12.87219002,0,B,IS
24.05255763,34.39646574,13.70864952,10,B,IS
25.55475061,34.53502757,16.57447366,20,B,IS
31.65554637,42.03769456,21.27339818,30,B,IS
34.28582832,44.40354629,24.16811034,40,B,IS
36.8426465,47.54929135,26.13600164,50,B,IS
37.11204305,48.27414108,25.94994502,60,B,IS
38.20651749,49.49708843,26.91594655,70,B,IS
39.80247709,51.37696803,28.22798615,80,B,IS
41.78694382,53.10801215,30.4658755,90,B,IS
48.1409002,59.66788043,36.61391996,100,B,IS
43.18181818,54.75562054,31.60801582,0,F,IS
53.00240996,64.60302041,41.40179952,10,F,IS
58.60847057,69.3401173,47.87682383,20,F,IS
65.02405498,76.3822659,53.66584407,30,F,IS
65.23232323,76.21109469,54.25355177,40,F,IS
70.03852478,80.67192525,59.40512431,50,F,IS
74.22076238,84.32270838,64.11881639,60,F,IS
75.82342265,85.32188775,66.32495755,70,F,IS
75.8342537,85.91397392,65.75453348,80,F,IS
75.79183373,85.87612448,65.70754298,90,F,IS
78.41945289,87.92907401,68.90983176,100,F,IS
40.42553191,51.88376875,28.96729508,0,S,IS
44.54645345,55.1635625,33.92934439,10,S,IS
52.17219357,63.35664583,40.98774131,20,S,IS
58.86476278,70.04933138,47.68019418,30,S,IS
58.81206186,70.40122974,47.22289397,40,S,IS
58.07239238,69.21852573,46.92625902,50,S,IS
64.25374614,75.54365687,52.96383542,60,S,IS
65.06402282,75.84186805,54.28617759,70,S,IS
66.1265939,77.09136447,55.16182334,80,S,IS
66.77261592,77.85263248,55.69259936,90,S,IS
70.13729977,80.7146644,59.55993514,100,S,IS
11.01364522,18.24848338,3.778807065,0,U,IS
13.70690614,21.76674628,5.647065988,10,U,IS
17.3318284,25.79986021,8.863796585,20,U,IS
19.51594609,29.0876367,9.944255484,30,U,IS
23.1341983,32.52231007,13.74608653,40,U,IS
25.21306096,35.47090632,14.9552156,50,U,IS
29.55001798,40.01756041,19.08247556,60,U,IS
30.08033065,41.06450864,19.09615267,70,U,IS
32.37199732,42.85245467,21.89153997,80,U,IS
34.1751655,45.33295634,23.01737467,90,U,IS
39.13043478,50.65699802,27.60387154,100,U,IS
12.76595745,20.84573376,4.686181132,0,B,RL
21.22663166,30.79653044,11.65673289,10,B,RL
25.93682976,37.21718953,14.65646998,20,B,RL
31.7289543,42.46400482,20.99390378,30,B,RL
32.2790093,43.95341296,20.60460565,40,B,RL
34.79497354,46.19778064,23.39216645,50,B,RL
36.01250601,47.50880854,24.51620348,60,B,RL
40.76541756,52.62297435,28.90786078,70,B,RL
45.69306044,57.75913276,33.62698811,80,B,RL
50.0648791,62.13973995,37.99001825,90,B,RL
53.37519623,65.42010494,41.33028752,100,B,RL
25.92592593,36.54787821,15.30397364,0,F,RL
49.95305493,61.68087308,38.22523678,10,F,RL
62.18064484,74.02067053,50.34061914,20,F,RL
58.04850661,69.77270703,46.3243062,30,F,RL
59.17056463,71.30776508,47.03336418,40,F,RL
60.45289815,72.04757716,48.85821913,50,F,RL
67.43232201,78.85948228,56.00516175,60,F,RL
69.63808726,80.54675617,58.72941836,70,F,RL
72.8471427,83.82374513,61.87054028,80,F,RL
76.65939997,86.96068613,66.35811382,90,F,RL
82.99232737,92.06224575,73.92240898,100,F,RL
28.28282828,39.20380946,17.36184711,0,S,RL
42.72126022,54.87926524,30.5632552,10,S,RL
51.01516978,63.17953992,38.85079964,20,S,RL
50.66041744,62.77612449,38.54471039,30,S,RL
51.16041744,63.29583445,39.02500042,40,S,RL
52.05361707,64.1509997,39.95623443,50,S,RL
56.108133,68.12750315,44.08876286,60,S,RL
60.8179205,72.51222504,49.12361596,70,S,RL
64.99298578,76.60329342,53.38267813,80,S,RL
68.08846721,79.31888508,56.85804933,90,S,RL
72.05240175,82.88462919,61.22017431,100,S,RL
11.96213425,19.79480997,4.129458532,0,U,RL
17.29150947,26.76814187,7.814877069,10,U,RL
21.77870766,31.60684327,11.95057204,20,U,RL
24.35210625,34.88710186,13.81711064,30,U,RL
28.71829717,39.43463554,18.00195879,40,U,RL
26.91038756,38.3792377,15.44153743,50,U,RL
29.74695939,39.47243359,20.02148519,60,U,RL
28.13131313,39.72179297,16.54083329,70,U,RL
29.42484547,40.46775251,18.38193843,80,U,RL
27.68242123,38.04624009,17.31860236,90,U,RL
30,41.24489435,18.75510565,100,U,RL
13.2231405,21.19167365,5.25460734,0,B,READ
17.33571398,26.54326537,8.128162584,10,B,READ
22.31767184,31.69491702,12.94042665,20,B,READ
25.4346551,35.99725087,14.87205933,30,B,READ
31.23327721,41.80999574,20.65655868,40,B,READ
33.87730019,45.22508856,22.52951182,50,B,READ
37.06716494,48.33912027,25.79520961,60,B,READ
37.11419258,48.49518536,25.7331998,70,B,READ
38.05455013,49.40862019,26.70048007,80,B,READ
42.72740109,54.16667505,31.28812713,90,B,READ
51.83673469,63.55403179,40.1194376,100,B,READ
36.26373626,47.58868037,24.93879216,0,F,READ
45.17046172,56.88370209,33.45722135,10,F,READ
50.27332532,61.9932955,38.55335513,20,F,READ
56.47909559,68.22353346,44.73465773,30,F,READ
59.81051958,71.08411087,48.5369283,40,F,READ
64.12512024,75.40298909,52.8472514,50,F,READ
65.17774473,76.40662372,53.94886574,60,F,READ
68.06987563,79.08431998,57.05543127,70,F,READ
70.11522392,80.59495382,59.63549402,80,F,READ
73.92671166,84.60861544,63.24480788,90,F,READ
78.66419295,88.27043177,69.05795413,100,F,READ
25.33333333,35.59059356,15.07607311,0,S,READ
33.02173913,43.75885583,22.28462243,10,S,READ
38.37039813,50.05242724,26.68836903,20,S,READ
46.07088123,57.64870386,34.49305859,30,S,READ
50.03913519,61.77488947,38.30338092,40,S,READ
55.66499199,67.3123739,44.01761008,50,S,READ
57.66962162,69.24863336,46.09060988,60,S,READ
59.92054793,71.47599339,48.36510247,70,S,READ
61.50158768,72.83935048,50.16382489,80,S,READ
65.68171258,77.00628297,54.35714218,90,S,READ
71.22093023,81.83458846,60.607272,100,S,READ
7.653061224,13.8840589,1.422063554,0,U,READ
12.10122586,20.06242516,4.140026569,10,U,READ
15.41952993,23.88001434,6.959045521,20,U,READ
18.00669404,26.94441829,9.068969794,30,U,READ
22.32810147,31.90389943,12.75230352,40,U,READ
22.66792733,33.25384858,12.08200608,50,U,READ
22.96745664,32.13308249,13.80183078,60,U,READ
