"Username","Condition.Description","Direction","Block","JOL","Recall","Version","JOL_rounded","warning"
"w10052154_DJM","READ","U",2,1,0,"sona",0,"no"
"w10052476_ajh","READ","U",2,45,0,"sona",40,"no"
"w10052853_jrs","READ","U",2,10,0,"sona",10,"no"
"w10054290_kw","READ","U",2,0,0,"sona",0,"no"
"w10052154_DJM","READ","S",2,23,0,"sona",20,"no"
"w10052476_ajh","READ","S",2,37,100,"sona",40,"no"
"w10052853_jrs","READ","S",2,50,0,"sona",50,"no"
"w10054290_kw","READ","S",2,100,0,"sona",100,"no"
"w10052154_DJM","READ","U",2,85,0,"sona",80,"no"
"w10052476_ajh","READ","U",2,21,0,"sona",20,"no"
"w10052853_jrs","READ","U",2,20,100,"sona",20,"no"
"w10054290_kw","READ","U",2,0,0,"sona",0,"no"
"w10052154_DJM","READ","U",2,23,0,"sona",20,"no"
"w10052476_ajh","READ","U",2,17,0,"sona",20,"no"
"w10052853_jrs","READ","U",2,10,0,"sona",10,"no"
"w10054290_kw","READ","U",2,0,0,"sona",0,"no"
"w10052154_DJM","READ","S",2,10,0,"sona",10,"no"
"w10052476_ajh","READ","S",2,26,0,"sona",30,"no"
"w10052853_jrs","READ","S",2,30,0,"sona",30,"no"
"w10054290_kw","READ","S",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","B",2,100,0,"sona",100,"no"
"w10052476_ajh","READ","B",2,21,0,"sona",20,"no"
"w10052853_jrs","READ","B",2,30,0,"sona",30,"no"
"w10054290_kw","READ","B",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","S",2,100,100,"sona",100,"no"
"w10052476_ajh","READ","S",2,65,100,"sona",60,"no"
"w10052853_jrs","READ","S",2,70,0,"sona",70,"no"
"w10054290_kw","READ","S",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","S",2,1,100,"sona",0,"no"
"w10052476_ajh","READ","S",2,86,100,"sona",90,"no"
"w10052853_jrs","READ","S",2,50,100,"sona",50,"no"
"w10054290_kw","READ","S",2,100,0,"sona",100,"no"
"w10052154_DJM","READ","F",2,85,0,"sona",80,"no"
"w10052476_ajh","READ","F",2,12,0,"sona",10,"no"
"w10052853_jrs","READ","F",2,20,0,"sona",20,"no"
"w10054290_kw","READ","F",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","S",2,25,0,"sona",20,"no"
"w10052476_ajh","READ","S",2,35,100,"sona",40,"no"
"w10052853_jrs","READ","S",2,20,0,"sona",20,"no"
"w10054290_kw","READ","S",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","F",2,25,0,"sona",20,"no"
"w10052476_ajh","READ","F",2,49,100,"sona",50,"no"
"w10052853_jrs","READ","F",2,20,0,"sona",20,"no"
"w10054290_kw","READ","F",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","B",2,85,0,"sona",80,"no"
"w10052476_ajh","READ","B",2,43,0,"sona",40,"no"
"w10052853_jrs","READ","B",2,70,100,"sona",70,"no"
"w10054290_kw","READ","B",2,100,0,"sona",100,"no"
"w10052154_DJM","READ","U",2,50,0,"sona",50,"no"
"w10052476_ajh","READ","U",2,16,0,"sona",20,"no"
"w10052853_jrs","READ","U",2,20,0,"sona",20,"no"
"w10054290_kw","READ","U",2,0,100,"sona",0,"no"
"w10052154_DJM","READ","F",2,1,0,"sona",0,"no"
"w10052476_ajh","READ","F",2,37,0,"sona",40,"no"
"w10052853_jrs","READ","F",2,10,0,"sona",10,"no"
"w10054290_kw","READ","F",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","S",2,85,100,"sona",80,"no"
"w10052476_ajh","READ","S",2,67,100,"sona",70,"no"
"w10052853_jrs","READ","S",2,80,100,"sona",80,"no"
"w10054290_kw","READ","S",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","B",2,23,0,"sona",20,"no"
"w10052476_ajh","READ","B",2,45,0,"sona",40,"no"
"w10052853_jrs","READ","B",2,20,0,"sona",20,"no"
"w10054290_kw","READ","B",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","F",2,100,100,"sona",100,"no"
"w10052476_ajh","READ","F",2,54,100,"sona",50,"no"
"w10052853_jrs","READ","F",2,80,100,"sona",80,"no"
"w10054290_kw","READ","F",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","B",2,100,0,"sona",100,"no"
"w10052476_ajh","READ","B",2,31,0,"sona",30,"no"
"w10052853_jrs","READ","B",2,20,0,"sona",20,"no"
"w10054290_kw","READ","B",2,100,100,"sona",100,"no"
"w10052154_DJM","READ","U",2,0,0,"sona",0,"no"
"w10052476_ajh","READ","U",2,39,0,"sona",40,"no"
"w10052853_jrs","READ","U",2,10,0,"sona",10,"no"
"w10054290_kw","READ","U",2,0,0,"sona",0,"no"
"w10052154_DJM","READ","U",2,3,100,"sona",0,"no"
"w10052476_ajh","READ","U",2,22,0,"sona",20,"no"
"w10052853_jrs","READ","U",2,10,0,"sona",10,"no"
"w10054290_kw","READ","U",2,100,100,"sona",100,"no"
