"Username","Condition.Description","Direction","Block","JOL","Recall","Version","JOL_rounded","warning"
"w10030701","RELATIONAL","U",2,0,0,"sona",0,"no"
"w10034986_mew","RELATIONAL","U",2,0,0,"sona",0,"no"
"w975182_JSM","RELATIONAL","U",2,2,0,"sona",0,"no"
"w999716_lnk","RELATIONAL","U",2,75,0,"sona",80,"no"
"w10030701","RELATIONAL","S",2,90,100,"sona",90,"no"
"w10034986_mew","RELATIONAL","S",2,35,0,"sona",40,"no"
"w975182_JSM","RELATIONAL","S",2,99,0,"sona",100,"no"
"w999716_lnk","RELATIONAL","S",2,100,100,"sona",100,"no"
"w10030701","RELATIONAL","U",2,30,100,"sona",30,"no"
"w10034986_mew","RELATIONAL","U",2,0,0,"sona",0,"no"
"w975182_JSM","RELATIONAL","U",2,2,0,"sona",0,"no"
"w999716_lnk","RELATIONAL","U",2,25,0,"sona",20,"no"
"w10030701","RELATIONAL","U",2,70,0,"sona",70,"no"
"w10034986_mew","RELATIONAL","U",2,0,0,"sona",0,"no"
"w975182_JSM","RELATIONAL","U",2,NA,0,"sona",NA,"no"
"w999716_lnk","RELATIONAL","U",2,0,0,"sona",0,"no"
"w10030701","RELATIONAL","S",2,90,0,"sona",90,"no"
"w10034986_mew","RELATIONAL","S",2,100,100,"sona",100,"no"
"w975182_JSM","RELATIONAL","S",2,97,100,"sona",100,"no"
"w999716_lnk","RELATIONAL","S",2,100,100,"sona",100,"no"
"w10030701","RELATIONAL","B",2,70,100,"sona",70,"no"
"w10034986_mew","RELATIONAL","B",2,70,0,"sona",70,"no"
"w975182_JSM","RELATIONAL","B",2,78,0,"sona",80,"no"
"w999716_lnk","RELATIONAL","B",2,100,0,"sona",100,"no"
"w10030701","RELATIONAL","S",2,100,100,"sona",100,"no"
"w10034986_mew","RELATIONAL","S",2,90,100,"sona",90,"no"
"w975182_JSM","RELATIONAL","S",2,100,100,"sona",100,"no"
"w999716_lnk","RELATIONAL","S",2,100,0,"sona",100,"no"
"w10030701","RELATIONAL","S",2,100,100,"sona",100,"no"
"w10034986_mew","RELATIONAL","S",2,100,0,"sona",100,"no"
"w975182_JSM","RELATIONAL","S",2,90,100,"sona",90,"no"
"w999716_lnk","RELATIONAL","S",2,80,0,"sona",80,"no"
"w10030701","RELATIONAL","F",2,20,100,"sona",20,"no"
"w10034986_mew","RELATIONAL","F",2,50,0,"sona",50,"no"
"w975182_JSM","RELATIONAL","F",2,87,0,"sona",90,"no"
"w999716_lnk","RELATIONAL","F",2,NA,0,"sona",NA,"no"
"w10030701","RELATIONAL","S",2,90,100,"sona",90,"no"
"w10034986_mew","RELATIONAL","S",2,100,0,"sona",100,"no"
"w975182_JSM","RELATIONAL","S",2,98,0,"sona",100,"no"
"w999716_lnk","RELATIONAL","S",2,100,100,"sona",100,"no"
"w10030701","RELATIONAL","F",2,100,100,"sona",100,"no"
"w10034986_mew","RELATIONAL","F",2,80,100,"sona",80,"no"
"w975182_JSM","RELATIONAL","F",2,85,100,"sona",80,"no"
"w999716_lnk","RELATIONAL","F",2,100,100,"sona",100,"no"
"w10030701","RELATIONAL","B",2,70,100,"sona",70,"no"
"w10034986_mew","RELATIONAL","B",2,30,100,"sona",30,"no"
"w975182_JSM","RELATIONAL","B",2,99,0,"sona",100,"no"
"w999716_lnk","RELATIONAL","B",2,99,0,"sona",100,"no"
"w10030701","RELATIONAL","U",2,0,0,"sona",0,"no"
"w10034986_mew","RELATIONAL","U",2,10,0,"sona",10,"no"
"w975182_JSM","RELATIONAL","U",2,0,0,"sona",0,"no"
"w999716_lnk","RELATIONAL","U",2,0,0,"sona",0,"no"
"w10030701","RELATIONAL","F",2,20,100,"sona",20,"no"
"w10034986_mew","RELATIONAL","F",2,0,100,"sona",0,"no"
"w975182_JSM","RELATIONAL","F",2,95,100,"sona",100,"no"
"w999716_lnk","RELATIONAL","F",2,0,0,"sona",0,"no"
"w10030701","RELATIONAL","S",2,90,100,"sona",90,"no"
"w10034986_mew","RELATIONAL","S",2,55,0,"sona",60,"no"
"w975182_JSM","RELATIONAL","S",2,100,100,"sona",100,"no"
"w999716_lnk","RELATIONAL","S",2,100,100,"sona",100,"no"
"w10030701","RELATIONAL","B",2,90,100,"sona",90,"no"
"w10034986_mew","RELATIONAL","B",2,35,100,"sona",40,"no"
"w975182_JSM","RELATIONAL","B",2,1,0,"sona",0,"no"
"w999716_lnk","RELATIONAL","B",2,100,0,"sona",100,"no"
"w10030701","RELATIONAL","F",2,100,100,"sona",100,"no"
"w10034986_mew","RELATIONAL","F",2,100,100,"sona",100,"no"
"w975182_JSM","RELATIONAL","F",2,100,100,"sona",100,"no"
"w999716_lnk","RELATIONAL","F",2,100,100,"sona",100,"no"
"w10030701","RELATIONAL","B",2,30,0,"sona",30,"no"
"w10034986_mew","RELATIONAL","B",2,80,100,"sona",80,"no"
