JOL_Bin,Direction,Average,Upper,Lower
0,B,21.12676056,36.35460755,5.898913574
10,B,21.84868892,38.43584328,5.261534553
20,B,23.89734449,38.29782431,9.496864662
30,B,23.40714841,40.05562333,6.758673487
40,B,27.62032086,43.84476409,11.39587763
50,B,30.52941176,47.69823897,13.36058456
60,B,34.99069123,52.88986832,17.09151413
70,B,40.73664178,58.84183385,22.63144971
80,B,41.86164178,60.42211872,23.30116484
90,B,44.31162512,62.4657218,26.15752843
100,B,45.7337884,64.21807872,27.24949807
0,F,37.28813559,55.3536052,19.22266598
10,F,44.11465232,62.70493163,25.52437301
20,F,47.33153229,66.07438299,28.58868159
30,F,52.52345149,71.20053191,33.84637106
40,F,56.27588813,74.74315647,37.80861979
50,F,61.02763958,78.94389408,43.11138508
60,F,64.46658347,82.65296463,46.28020232
70,F,64.442217,81.76094149,47.12349252
80,F,68.30346631,86.16151489,50.44541774
90,F,70.53118908,87.0640486,53.99832957
100,F,75,91.06478043,58.93521957
0,S,62.06896552,80.35972067,43.77821036
10,S,53.40570456,72.26581335,34.54559576
20,S,45.41446208,64.27457087,26.55435329
30,S,45.41446208,63.84631856,26.9826056
40,S,50.57720058,69.31157391,31.84282724
50,S,61.00803958,78.99044774,43.02563142
60,S,67.22694505,84.47513336,49.97875674
70,S,68.60435552,85.91671454,51.2919965
80,S,70.23238537,87.61571547,52.84905528
90,S,68.68871188,84.91989454,52.45752922
100,S,64.02569593,81.82142938,46.22996248
0,U,8.547008547,18.91757835,0
10,U,13.2025382,27.04656337,0
20,U,12.84786642,25.89966805,0
30,U,13.95897753,23.73827726,4.179677801
40,U,18.29341782,33.20310374,3.383731906
50,U,21.6814397,38.31565468,5.047224717
60,U,22.59053061,36.92347012,8.257591095
70,U,22.34699941,38.04903466,6.644964149
80,U,28.74534822,45.40530089,12.08539555
90,U,31.83625731,50.19333922,13.4791754
100,U,32,49.63481405,14.36518595
