JOL_Bin,Direction,Average,Upper,Lower
0,B,24.59016393,40.67294161,8.507386261
10,B,23.89337034,41.03979854,6.746942142
20,B,26.26575472,40.92814726,11.60336218
30,B,24.26882692,41.71924448,6.818409353
40,B,29.89085921,45.63395805,14.14776036
50,B,31.96543168,49.8146398,14.11622355
60,B,38.49477486,56.62437484,20.36517487
70,B,42.86151922,61.26439625,24.45864219
80,B,45.36935621,63.97531811,26.76339431
90,B,46.91596819,65.44394897,28.38798741
100,B,46.80851064,65.33045371,28.28656757
0,F,39.62264151,57.91299444,21.33228858
10,F,42.96463219,60.65395894,25.27530544
20,F,48.384536,67.04671495,29.72235705
30,F,57.37041533,76.03864165,38.70218902
40,F,59.60857266,78.08360525,41.13354006
50,F,64.31445501,82.20149586,46.42741416
60,F,68.13559322,85.28202142,50.98916502
70,F,68.12260536,85.21926153,51.02594919
80,F,69.60679028,87.44877093,51.76480962
90,F,71.2108003,87.42447391,54.9971267
100,F,74.81203008,90.92135124,58.70270891
0,S,60.86956522,79.35318685,42.38594358
10,S,56.00414079,75.02639496,36.98188661
20,S,47.61904762,66.67623709,28.56185815
30,S,46.75324675,65.17146516,28.33502835
40,S,51.10107284,69.83060713,32.37153855
50,S,62.77354671,80.85008821,44.69700521
60,S,69.59172853,86.65431061,52.52914644
70,S,74.33481153,90.54355621,58.12606685
80,S,75.70767556,91.31920842,60.0961427
90,S,72.25135664,88.37059168,56.13212161
100,S,64.63104326,69.3205533,41.24855239
0,U,8.666666667,19.10527949,0
10,U,13.15310686,27.06766917,0
20,U,12.94621031,25.86013762,0.032283003
30,U,13.25546904,23.3890331,3.12190498
40,U,19.16507652,33.43092885,4.899224197
50,U,26.00689371,43.45731127,8.556476145
60,U,28.09291521,45.45777806,10.72805237
70,U,30.34432234,46.48990998,14.19873471
80,U,34.15384615,52.91004171,15.3976506
90,U,38.85225885,57.97990028,19.72461742
100,U,38.0952381,69.3205533,41.24855239
