JOL_Bin,Direction,Average,Upper,Lower
0,B,36.36363636,54.41783087,18.30944185
10,B,41.72224172,59.80159079,23.64289265
20,B,42.64450786,60.67822115,24.61079458
30,B,46.53823209,64.19558266,28.88088153
40,B,54.47474003,72.3094029,36.64007716
50,B,60.47888082,77.44566704,43.5120946
60,B,62.18487395,79.99998869,44.36975921
70,B,60.14613797,77.53280978,42.75946615
80,B,61.30685225,78.87704448,43.73666003
90,B,58.82000385,76.35852749,41.28148022
100,B,55.28455285,73.14937816,37.41972753
0,F,25,41.56502339,8.434976607
10,F,51.84036394,69.55863711,34.12209076
20,F,65.72925283,82.57227466,48.88623099
30,F,69.2991453,86.40742789,52.1908627
40,F,71.60448522,87.83482717,55.37414326
50,F,78.58580282,93.90711767,63.26448797
60,F,83.65557026,95.49767304,71.81346748
70,F,86.50459978,98.5262401,74.48295947
80,F,83.5376191,96.48796041,70.58727778
90,F,82.77472996,97.47096604,68.07849389
100,F,84.92063492,97.77716749,72.06410235
0,S,75,91.18416735,58.81583265
10,S,69.73429952,86.11423304,53.35436599
20,S,71.40096618,89.25784117,53.5440912
30,S,71.28084606,85.80363411,56.75805802
40,S,76.57238634,92.6834871,60.46128558
50,S,77.39712861,92.60343445,62.19082277
60,S,78.62835984,92.30386616,64.95285352
70,S,79.71363116,94.93358652,64.4936758
80,S,77.17566729,91.55813525,62.79319933
90,S,78.67638879,94.24384251,63.10893506
100,S,81.16883117,69.3205533,41.24855239
0,U,12.63157895,24.58244514,0.680712758
10,U,9.207333468,18.99728644,-0.582619504
20,U,12.36114824,21.5217167,3.200579772
30,U,13.79438224,28.72751607,-1.138751596
40,U,15.97394945,27.81900537,4.128893523
50,U,16.84490248,29.13612525,4.553679703
60,U,18.87002702,34.39554049,3.344513543
70,U,17.40594803,31.3702065,3.441689555
80,U,10.83732057,21.24358529,0.431055859
90,U,11.94334651,19.84176137,4.044931651
100,U,21.73913043,69.3205533,41.24855239
