JOL_Bin,Direction,Average,Upper,Lower
0,B,26.66666667,42.49998458,10.83334875
10,B,34.04040404,50.59135947,17.48944861
20,B,38.82672883,56.62693971,21.02651795
30,B,44.58430458,62.12614,27.04246917
40,B,43.93660623,61.6737086,26.19950385
50,B,49.11385157,66.63333062,31.59437251
60,B,48.44143396,65.96268468,30.92018324
70,B,52.2709505,69.85714869,34.68475231
80,B,52.51396887,70.07591187,34.95202588
90,B,54.96052929,72.41786564,37.50319294
100,B,52.59515571,70.20324114,34.98707028
0,F,53.84615385,71.74286328,35.94944442
10,F,60.07834758,77.67966718,42.47702798
20,F,69.11375661,86.26223325,51.96527998
30,F,72.84182679,86.83264465,58.85100892
40,F,74.78712071,90.42630357,59.14793784
50,F,71.16481708,87.41333912,54.91629505
60,F,72.48333076,88.67136996,56.29529156
70,F,76.24360274,90.95685063,61.53035486
80,F,81.17006767,95.01727413,67.32286121
90,F,81.89167057,94.54221717,69.24112398
100,F,79.80456026,93.96002755,65.64909298
0,S,73.33333333,89.44690872,57.21975794
10,S,65.76902025,83.28632353,48.25171698
20,S,61.5000144,78.88321753,44.11681128
30,S,63.8953968,81.33321364,46.45757996
40,S,65.53907496,81.95681062,49.1213393
50,S,70.26323476,86.899353,53.62711652
60,S,69.74005423,85.13700582,54.34310265
70,S,72.6421258,89.19824875,56.08600285
80,S,75.96034919,91.10010548,60.82059289
90,S,78.89403272,91.61383654,66.17422891
100,S,76.32241814,91.30606811,61.33876816
0,U,16.41791045,29.48270378,3.353117116
10,U,25.31938011,40.8537508,9.785009417
20,U,30.34543096,47.00969391,13.68116801
30,U,31.84082188,48.25721386,15.4244299
40,U,31.6093404,47.9264941,15.29218669
50,U,37.7773194,54.34114906,21.21348973
60,U,43.23257081,60.95740995,25.50773166
70,U,49.94553377,67.64701489,32.24405265
80,U,52.9758368,70.67330166,35.27837194
90,U,48.4006734,65.84124699,30.96009981
100,U,33.33333333,50.09314189,16.57352478
