"Username","Condition.Description","Direction","Block","JOL","Recall_Score","Version"
"w10006820_KPH","READ","U",1,2,0,"Collector"
"w10051663JA","READ","U",1,43,0,"Collector"
"w10006820_KPH","READ","S",1,77,100,"Collector"
"w10051663JA","READ","S",1,83,0,"Collector"
"w10006820_KPH","READ","U",1,3,0,"Collector"
"w10051663JA","READ","U",1,30,0,"Collector"
"w10006820_KPH","READ","U",1,11,0,"Collector"
"w10051663JA","READ","U",1,6,0,"Collector"
"w10006820_KPH","READ","S",1,7,100,"Collector"
"w10051663JA","READ","S",1,16,0,"Collector"
"w10006820_KPH","READ","B",1,77,0,"Collector"
"w10051663JA","READ","B",1,33,0,"Collector"
"w10006820_KPH","READ","S",1,79,100,"Collector"
"w10051663JA","READ","S",1,89,100,"Collector"
"w10006820_KPH","READ","S",1,100,100,"Collector"
"w10051663JA","READ","S",1,65,100,"Collector"
"w10006820_KPH","READ","F",1,9,0,"Collector"
"w10051663JA","READ","F",1,59,0,"Collector"
"w10006820_KPH","READ","S",1,44,0,"Collector"
"w10051663JA","READ","S",1,56,0,"Collector"
"w10006820_KPH","READ","F",1,20,100,"Collector"
"w10051663JA","READ","F",1,44,100,"Collector"
"w10006820_KPH","READ","B",1,44,100,"Collector"
"w10051663JA","READ","B",1,17,0,"Collector"
"w10006820_KPH","READ","U",1,16,0,"Collector"
"w10051663JA","READ","U",1,4,0,"Collector"
"w10006820_KPH","READ","F",1,70,0,"Collector"
"w10051663JA","READ","F",1,7,0,"Collector"
"w10006820_KPH","READ","S",1,67,100,"Collector"
"w10051663JA","READ","S",1,98,100,"Collector"
"w10006820_KPH","READ","B",1,33,0,"Collector"
"w10051663JA","READ","B",1,4,0,"Collector"
"w10006820_KPH","READ","F",1,100,100,"Collector"
"w10051663JA","READ","F",1,29,0,"Collector"
"w10006820_KPH","READ","B",1,9,0,"Collector"
"w10051663JA","READ","B",1,45,0,"Collector"
"w10006820_KPH","READ","U",1,1,0,"Collector"
"w10051663JA","READ","U",1,61,100,"Collector"
"w10006820_KPH","READ","U",1,2,0,"Collector"
"w10051663JA","READ","U",1,26,0,"Collector"
"w10006820_KPH","READ","F",1,77,100,"Collector"
"w10051663JA","READ","F",1,63,0,"Collector"
"w10006820_KPH","READ","U",1,25,0,"Collector"
"w10051663JA","READ","U",1,30,0,"Collector"
"w10006820_KPH","READ","F",1,90,0,"Collector"
"w10051663JA","READ","F",1,28,0,"Collector"
"w10006820_KPH","READ","U",1,4,0,"Collector"
"w10051663JA","READ","U",1,81,100,"Collector"
"w10006820_KPH","READ","F",1,5,0,"Collector"
"w10051663JA","READ","F",1,74,0,"Collector"
"w10006820_KPH","READ","B",1,90,100,"Collector"
"w10051663JA","READ","B",1,33,0,"Collector"
"w10006820_KPH","READ","S",1,100,0,"Collector"
"w10051663JA","READ","S",1,22,0,"Collector"
"w10006820_KPH","READ","S",1,14,0,"Collector"
"w10051663JA","READ","S",1,93,0,"Collector"
"w10006820_KPH","READ","F",1,21,0,"Collector"
"w10051663JA","READ","F",1,8,100,"Collector"
"w10006820_KPH","READ","B",1,97,0,"Collector"
"w10051663JA","READ","B",1,100,0,"Collector"
"w10006820_KPH","READ","U",1,4,0,"Collector"
"w10051663JA","READ","U",1,1,0,"Collector"
"w10006820_KPH","READ","B",1,30,0,"Collector"
"w10051663JA","READ","B",1,70,0,"Collector"
"w10006820_KPH","READ","F",1,10,100,"Collector"
"w10051663JA","READ","F",1,65,0,"Collector"
"w10006820_KPH","READ","B",1,80,0,"Collector"
"w10051663JA","READ","B",1,89,0,"Collector"
"w10006820_KPH","READ","S",1,99,0,"Collector"
"w10051663JA","READ","S",1,19,0,"Collector"
"w10006820_KPH","READ","U",1,1,0,"Collector"
"w10051663JA","READ","U",1,55,0,"Collector"
"w10006820_KPH","READ","B",1,65,0,"Collector"
"w10051663JA","READ","B",1,49,0,"Collector"
"w10006820_KPH","READ","F",1,60,100,"Collector"
"w10051663JA","READ","F",1,56,0,"Collector"
"w10006820_KPH","READ","U",1,23,0,"Collector"
"w10051663JA","READ","U",1,48,0,"Collector"
"w10006820_KPH","READ","S",1,100,0,"Collector"
"w10051663JA","READ","S",1,91,0,"Collector"
"w10006820_KPH","READ","F",1,30,100,"Collector"
"w10051663JA","READ","F",1,9,0,"Collector"
"w10006820_KPH","READ","B",1,20,0,"Collector"
"w10051663JA","READ","B",1,32,100,"Collector"
"w10006820_KPH","READ","B",1,33,0,"Collector"
"w10051663JA","READ","B",1,31,0,"Collector"
"w10006820_KPH","READ","F",1,90,0,"Collector"
"w10051663JA","READ","F",1,93,0,"Collector"
"w10006820_KPH","READ","B",1,11,0,"Collector"
"w10051663JA","READ","B",1,97,0,"Collector"
"w10006820_KPH","READ","S",1,5,0,"Collector"
"w10051663JA","READ","S",1,19,100,"Collector"
"w10006820_KPH","READ","U",1,23,0,"Collector"
"w10051663JA","READ","U",1,67,0,"Collector"
"w10006820_KPH","READ","B",1,77,0,"Collector"
"w10051663JA","READ","B",1,21,100,"Collector"
"w10006820_KPH","READ","S",1,95,0,"Collector"
"w10051663JA","READ","S",1,3,0,"Collector"
"w10006820_KPH","READ","U",1,1,0,"Collector"
"w10051663JA","READ","U",1,47,0,"Collector"
"w10006820_KPH","READ","S",1,5,0,"Collector"
"w10051663JA","READ","S",1,18,0,"Collector"
"w10006820_KPH","READ","U",1,2,0,"Collector"
"w10051663JA","READ","U",1,73,0,"Collector"
"w10006820_KPH","READ","B",1,33,0,"Collector"
"w10051663JA","READ","B",1,100,100,"Collector"
"w10006820_KPH","READ","S",1,15,100,"Collector"
"w10051663JA","READ","S",1,77,100,"Collector"
"w10006820_KPH","READ","S",1,60,0,"Collector"
"w10051663JA","READ","S",1,18,0,"Collector"
"w10006820_KPH","READ","F",1,49,100,"Collector"
"w10051663JA","READ","F",1,62,0,"Collector"
"w10006820_KPH","READ","U",1,2,0,"Collector"
"w10051663JA","READ","U",1,90,100,"Collector"
"w10006820_KPH","READ","S",1,77,0,"Collector"
"w10051663JA","READ","S",1,85,100,"Collector"
"w10006820_KPH","READ","F",1,77,0,"Collector"
"w10051663JA","READ","F",1,5,100,"Collector"
"w10006820_KPH","READ","B",1,95,0,"Collector"
"w10051663JA","READ","B",1,89,100,"Collector"
"w10006820_KPH","READ","S",1,77,0,"Collector"
"w10051663JA","READ","S",1,61,100,"Collector"
"w10006820_KPH","READ","U",1,1,0,"Collector"
"w10051663JA","READ","U",1,99,0,"Collector"
"w10006820_KPH","READ","F",1,10,0,"Collector"
"w10051663JA","READ","F",1,67,0,"Collector"
"w10006820_KPH","READ","F",1,46,0,"Collector"
"w10051663JA","READ","F",1,78,100,"Collector"
"w10006820_KPH","READ","B",1,10,0,"Collector"
"w10051663JA","READ","B",1,66,0,"Collector"
"w10006820_KPH","READ","S",1,80,0,"Collector"
"w10051663JA","READ","S",1,44,100,"Collector"
"w10006820_KPH","READ","B",1,44,0,"Collector"
"w10051663JA","READ","B",1,32,0,"Collector"
"w10006820_KPH","READ","B",1,30,100,"Collector"
"w10051663JA","READ","B",1,63,100,"Collector"
"w10006820_KPH","READ","U",1,3,0,"Collector"
"w10051663JA","READ","U",1,45,0,"Collector"
"w10006820_KPH","READ","U",1,3,0,"Collector"
"w10051663JA","READ","U",1,17,0,"Collector"
"w10006820_KPH","READ","U",1,1,0,"Collector"
"w10051663JA","READ","U",1,27,0,"Collector"
"w10006820_KPH","READ","F",1,59,100,"Collector"
"w10051663JA","READ","F",1,82,100,"Collector"
"w10006820_KPH","READ","B",1,55,0,"Collector"
"w10051663JA","READ","B",1,7,0,"Collector"
"w10006820_KPH","READ","S",1,90,0,"Collector"
"w10051663JA","READ","S",1,88,0,"Collector"
"w10006820_KPH","READ","F",1,22,100,"Collector"
"w10051663JA","READ","F",1,79,100,"Collector"
"w10006820_KPH","READ","U",1,2,0,"Collector"
"w10051663JA","READ","U",1,62,0,"Collector"
"w10006820_KPH","READ","F",1,30,0,"Collector"
"w10051663JA","READ","F",1,92,0,"Collector"
"w10006820_KPH","READ","F",1,99,100,"Collector"
"w10051663JA","READ","F",1,64,0,"Collector"
"w10006820_KPH","READ","S",1,11,0,"Collector"
"w10051663JA","READ","S",1,99,0,"Collector"
"w10006820_KPH","READ","B",1,3,0,"Collector"
"w10051663JA","READ","B",1,22,0,"Collector"
"w10016099CJ","READ","U",1,100,0,"Collector"
"w10042962_jkc","READ","U",1,50,0,"Collector"
"w970137","READ","U",1,10,100,"Collector"
"w10016099CJ","READ","U",1,100,0,"Collector"
"w10042962_jkc","READ","U",1,0,0,"Collector"
"w970137","READ","U",1,10,0,"Collector"
"w10016099CJ","READ","S",1,10,0,"Collector"
"w10042962_jkc","READ","S",1,50,0,"Collector"
"w970137","READ","S",1,30,0,"Collector"
"w10016099CJ","READ","S",1,100,0,"Collector"
"w10042962_jkc","READ","S",1,60,0,"Collector"
"w970137","READ","S",1,30,100,"Collector"
"w10016099CJ","READ","F",1,10,0,"Collector"
"w10042962_jkc","READ","F",1,60,0,"Collector"
"w970137","READ","F",1,20,0,"Collector"
"w10016099CJ","READ","F",1,20,0,"Collector"
"w10042962_jkc","READ","F",1,80,0,"Collector"
"w970137","READ","F",1,30,100,"Collector"
"w10016099CJ","READ","B",1,100,0,"Collector"
"w10042962_jkc","READ","B",1,30,100,"Collector"
"w970137","READ","B",1,10,0,"Collector"
"w10016099CJ","READ","S",1,20,0,"Collector"
"w10042962_jkc","READ","S",1,60,100,"Collector"
"w970137","READ","S",1,40,100,"Collector"
"w10016099CJ","READ","S",1,6,0,"Collector"
"w10042962_jkc","READ","S",1,90,100,"Collector"
"w970137","READ","S",1,80,0,"Collector"
"w10016099CJ","READ","U",1,100,0,"Collector"
"w10042962_jkc","READ","U",1,10,100,"Collector"
"w970137","READ","U",1,20,100,"Collector"
"w10016099CJ","READ","B",1,100,0,"Collector"
"w10042962_jkc","READ","B",1,60,0,"Collector"
"w970137","READ","B",1,20,0,"Collector"
"w10016099CJ","READ","F",1,100,0,"Collector"
"w10042962_jkc","READ","F",1,50,100,"Collector"
"w970137","READ","F",1,40,100,"Collector"
"w10016099CJ","READ","U",1,52,0,"Collector"
"w10042962_jkc","READ","U",1,0,0,"Collector"
"w970137","READ","U",1,20,0,"Collector"
"w10016099CJ","READ","U",1,10,0,"Collector"
"w10042962_jkc","READ","U",1,40,0,"Collector"
"w970137","READ","U",1,30,100,"Collector"
"w10016099CJ","READ","U",1,100,0,"Collector"
"w10042962_jkc","READ","U",1,1,0,"Collector"
"w970137","READ","U",1,20,100,"Collector"
"w10016099CJ","READ","B",1,50,0,"Collector"
"w10042962_jkc","READ","B",1,80,100,"Collector"
"w970137","READ","B",1,60,100,"Collector"
"w10016099CJ","READ","F",1,20,0,"Collector"
"w10042962_jkc","READ","F",1,20,100,"Collector"
