Cue,Answer,Shuffle,Stimuli Notes,Value
GREEN,TREES,Buffer,Buffer,1
CATCHER,BASEBALL,Buffer,Buffer,2
BUTTER,PEANUT,Buffer,Buffer,3
HIDE,SCARE,Buffer,Buffer,4
JAM,SPACE,Buffer,Buffer,5
BAD,DELINQUENT,ON,F,6
STOMACH,DIGESTION,ON,F,7
MONEY,WAGE,ON,F,8
HAMMER,CHISEL,ON,F,9
NEWS,EDITOR,ON,F,10
STING,HORNET,ON,F,11
COLD,BITTER,ON,F,12
PLANT,ROOT,ON,F,13
BIRD,SWAN,ON,F,14
DOG,PAW,ON,F,15
OUT,WAY,ON,F,16
CLEAN,HYGIENE,ON,F,17
WATER,BRIDGE,ON,F,18
ROCK,GEOLOGY,ON,F,19
WAR,REVOLUTION,ON,F,20
TALK,DISCUSSION,ON,F,21
COW,HERD,ON,F,22
CARD,CREDIT,ON,F,23
FLOWER,ORCHID,ON,F,24
FISH,TUNA,ON,F,25
ENOUGH,FULL,ON,B,26
SIP,DRINK,ON,B,27
CAVE,DARK,ON,B,28
SEIZE,TAKE,ON,B,29
GROWTH,HEIGHT,ON,B,30
WORD,SENTENCE,ON,B,31
WASP,BUG,ON,B,32
DIVISION,MATH,ON,B,33
ATTORNEY,LAW,ON,B,34
FANTASTIC,GREAT,ON,B,35
LATCH,KEY,ON,B,36
CHILI,HOT,ON,B,37
RACKET,BALL,ON,B,38
CHORE,WORK,ON,B,39
FAMINE,HUNGER,ON,B,40
DROWSY,SLEEP,ON,B,41
STENCH,SMELL,ON,B,42
ATTIRE,CLOTHES,ON,B,43
PILOT,PLANE,ON,B,44
BLAZE,FIRE,ON,B,45
ASSIGNMENT,DUE,ON,S,46
AMOUNT,NUMBER,ON,S,47
SITE,LOCATION,ON,S,48
WASTE,DUMP,ON,S,49
JURY,TRIAL,ON,S,50
DESIGN,ARCHITECTURE,ON,S,51
BAR,GRILL,ON,S,52
LIVER,KIDNEY,ON,S,53
END,BEGIN,ON,S,54
WIND,BLOW,ON,S,55
SODA,POP,ON,S,56
CHEESE,WINE,ON,S,57
TOILET,BATHROOM,ON,S,58
SALAD,LETTUCE,ON,S,59
FOOT,SHOE,ON,S,60
FUTURE,PAST,ON,S,61
DEFINITION,MEANING,ON,S,62
BEE,HONEY,ON,S,63
CHILD,BABY,ON,S,64
ROUND,CIRCLE,ON,S,65
CLUTTER,PUSHER,ON,U,66
SACKING,DIETARY,ON,U,67
HUNGRY,PARK,ON,U,68
WOMAN,LIFT,ON,U,69
BELT,SOON,ON,U,70
FLOOR,DISCOVER,ON,U,71
BUSINESS,DEATH,ON,U,72
SIGHT,DEBATE,ON,U,73
BRONZE,ARTERY,ON,U,74
HAND,FIX,ON,U,75
POSITION,MACHINE,ON,U,76
CAR,HAPPY,ON,U,77
TUCK,ALLOW,ON,U,78
LION,ART,ON,U,79
ACCIDENT,STRONG,ON,U,80
RIDDLE,SUGAR,ON,U,81
ADD,VALLEY,ON,U,82
WOULD,CASH,ON,U,83
SICK,HIDE,ON,U,84
VASE,KING,ON,U,85
GOOSE,GEESE,Buffer2,Buffer,86
POLICE,SHERRIF,Buffer2,Buffer,87
CHOCOLATE,MALT,Buffer2,Buffer,88
SPACE,MOON,Buffer2,Buffer,89
STUFF,THING,Buffer2,Buffer,90
POTATO,CARROT,Buffer3,Buffer,91
STRING,NOODLE,Buffer3,Buffer,92
FISH,SHRIMP,Buffer3,Buffer,93
