"Username","Trial","Condition.Number","Condition.Description","Condition.Notes","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","JOL","Procedure.Trial.Type","Procedure.Shuffle.1","Recall.Response","Recall_Score","platform"
"w10003113_hkb",76,1,"READ Version A","OLD","ALLOW","TUCK","ON","U","Study Phase","0","Test","Recall1","",0,"sona"
"w10006452SW",68,1,"READ Version A","OLD","ALLOW","TUCK","ON","U","Study Phase","10","Test","Recall1","tuck",100,"sona"
"w10006820_KPH",86,1,"READ Version A","OLD","ALLOW","TUCK","ON","U","Study Phase","2","Test","Recall1","deny ",0,"sona"
"w10051663JA",30,1,"READ Version A","OLD","ALLOW","TUCK","ON","U","Study Phase","43","Test","Recall1","",0,"sona"
"w927437_AH",97,1,"READ Version A","OLD","ALLOW","TUCK","ON","U","Study Phase","0","Test","Recall1","",0,"sona"
"w10003113_hkb",79,1,"READ Version A","OLD","ARCHITECTURE","DESIGN","ON","S","Study Phase","0","Test","Recall1","DESIGN",100,"sona"
"w10006452SW",32,1,"READ Version A","OLD","ARCHITECTURE","DESIGN","ON","S","Study Phase","90","Test","Recall1","DESIGN",100,"sona"
"w10006820_KPH",58,1,"READ Version A","OLD","ARCHITECTURE","DESIGN","ON","S","Study Phase","77","Test","Recall1","design ",100,"sona"
"w10051663JA",90,1,"READ Version A","OLD","ARCHITECTURE","DESIGN","ON","S","Study Phase","83","Test","Recall1","",0,"sona"
"w927437_AH",37,1,"READ Version A","OLD","ARCHITECTURE","DESIGN","ON","S","Study Phase","90","Test","Recall1","design",100,"sona"
"w10003113_hkb",89,1,"READ Version A","OLD","ART","LION","ON","U","Study Phase","0","Test","Recall1","DESIGN",0,"sona"
"w10006452SW",86,1,"READ Version A","OLD","ART","LION","ON","U","Study Phase","0","Test","Recall1","LION",100,"sona"
"w10006820_KPH",50,1,"READ Version A","OLD","ART","LION","ON","U","Study Phase","3","Test","Recall1","paint",0,"sona"
"w10051663JA",32,1,"READ Version A","OLD","ART","LION","ON","U","Study Phase","30","Test","Recall1","",0,"sona"
"w927437_AH",44,1,"READ Version A","OLD","ART","LION","ON","U","Study Phase","0","Test","Recall1","",0,"sona"
"w10003113_hkb",57,1,"READ Version A","OLD","ARTERY","BRONZE","ON","U","Study Phase","0","Test","Recall1","VEIN",0,"sona"
"w10006452SW",28,1,"READ Version A","OLD","ARTERY","BRONZE","ON","U","Study Phase","10","Test","Recall1","BRONZE",100,"sona"
"w10006820_KPH",23,1,"READ Version A","OLD","ARTERY","BRONZE","ON","U","Study Phase","11","Test","Recall1","shell",0,"sona"
"w10051663JA",73,1,"READ Version A","OLD","ARTERY","BRONZE","ON","U","Study Phase","6","Test","Recall1","",0,"sona"
"w927437_AH",84,1,"READ Version A","OLD","ARTERY","BRONZE","ON","U","Study Phase","0","Test","Recall1","blood",0,"sona"
"w10003113_hkb",32,1,"READ Version A","OLD","BABY","CHILD","ON","S","Study Phase","0","Test","Recall1","CHILD",100,"sona"
"w10006452SW",65,1,"READ Version A","OLD","BABY","CHILD","ON","S","Study Phase","95","Test","Recall1","CHILD",100,"sona"
"w10006820_KPH",51,1,"READ Version A","OLD","BABY","CHILD","ON","S","Study Phase","7","Test","Recall1","child ",100,"sona"
"w10051663JA",80,1,"READ Version A","OLD","BABY","CHILD","ON","S","Study Phase","16","Test","Recall1","",0,"sona"
"w927437_AH",61,1,"READ Version A","OLD","BABY","CHILD","ON","S","Study Phase","20","Test","Recall1","",0,"sona"
"w10003113_hkb",23,1,"READ Version A","OLD","BALL","RACKET","ON","B","Study Phase","0","Test","Recall1","",0,"sona"
"w10006452SW",26,1,"READ Version A","OLD","BALL","RACKET","ON","B","Study Phase","65","Test","Recall1","",0,"sona"
"w10006820_KPH",40,1,"READ Version A","OLD","BALL","RACKET","ON","B","Study Phase","77","Test","Recall1","catch ",0,"sona"
"w10051663JA",43,1,"READ Version A","OLD","BALL","RACKET","ON","B","Study Phase","33","Test","Recall1","",0,"sona"
"w927437_AH",81,1,"READ Version A","OLD","BALL","RACKET","ON","B","Study Phase","0","Test","Recall1","park",0,"sona"
"w10003113_hkb",83,1,"READ Version A","OLD","BATHROOM","TOILET","ON","S","Study Phase","0","Test","Recall1","",0,"sona"
"w10006452SW",63,1,"READ Version A","OLD","BATHROOM","TOILET","ON","S","Study Phase","100","Test","Recall1","TOILET",100,"sona"
"w10006820_KPH",52,1,"READ Version A","OLD","BATHROOM","TOILET","ON","S","Study Phase","79","Test","Recall1","toilet",100,"sona"
"w10051663JA",98,1,"READ Version A","OLD","BATHROOM","TOILET","ON","S","Study Phase","89","Test","Recall1","toilet",100,"sona"
"w927437_AH",93,1,"READ Version A","OLD","BATHROOM","TOILET","ON","S","Study Phase","80","Test","Recall1","",0,"sona"
"w10003113_hkb",82,1,"READ Version A","OLD","BEGIN","END","ON","S","Study Phase","0","Test","Recall1","END",100,"sona"
"w10006452SW",55,1,"READ Version A","OLD","BEGIN","END","ON","S","Study Phase","100","Test","Recall1","END",100,"sona"
"w10006820_KPH",55,1,"READ Version A","OLD","BEGIN","END","ON","S","Study Phase","100","Test","Recall1","end ",100,"sona"
"w10051663JA",28,1,"READ Version A","OLD","BEGIN","END","ON","S","Study Phase","65","Test","Recall1","end",100,"sona"
"w927437_AH",36,1,"READ Version A","OLD","BEGIN","END","ON","S","Study Phase","100","Test","Recall1","End",100,"sona"
"w10003113_hkb",42,1,"READ Version A","OLD","BITTER","COLD","ON","F","Study Phase","0","Test","Recall1","SWEET",0,"sona"
"w10006452SW",82,1,"READ Version A","OLD","BITTER","COLD","ON","F","Study Phase","50","Test","Recall1","COLD",100,"sona"
"w10006820_KPH",73,1,"READ Version A","OLD","BITTER","COLD","ON","F","Study Phase","9","Test","Recall1","sour",0,"sona"
"w10051663JA",64,1,"READ Version A","OLD","BITTER","COLD","ON","F","Study Phase","59","Test","Recall1","",0,"sona"
