"Username","Trial","Condition.Number","Condition.Description","Condition.Notes","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","JOL","Procedure.Trial.Type","Procedure.Shuffle.1","Recall.Response","Recall_Score","platform"
"961831MM",32,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","24","Test","Recall1","",0,"sona"
"w10025409_jnl",82,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","3","Test","Recall1","",0,"sona"
"w10064595",86,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","0","Test","Recall1","",0,"sona"
"w10070345",66,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","50","Test","Recall1","Tuck",100,"sona"
"w981975_sha",62,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","10","Test","Recall1","",0,"sona"
"961831MM",78,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","76","Test","Recall1","DESIGN",100,"sona"
"w10025409_jnl",84,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","60","Test","Recall1","",0,"sona"
"w10064595",91,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","0","Test","Recall1","",0,"sona"
"w10070345",24,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","50","Test","Recall1","Field",0,"sona"
"w981975_sha",98,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","75","Test","Recall1","Design",100,"sona"
"961831MM",85,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","21","Test","Recall1","PAINT",0,"sona"
"w10025409_jnl",66,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","10","Test","Recall1","lion",100,"sona"
"w10064595",100,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","0","Test","Recall1","lion",100,"sona"
"w10070345",68,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","50","Test","Recall1","Lion",100,"sona"
"w981975_sha",53,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","20","Test","Recall1","",0,"sona"
"961831MM",82,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","2","Test","Recall1","LEG",0,"sona"
"w10025409_jnl",39,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","1","Test","Recall1","body",0,"sona"
"w10064595",80,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","10","Test","Recall1","",0,"sona"
"w10070345",53,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","50","Test","Recall1","Bronze",100,"sona"
"w981975_sha",92,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","1","Test","Recall1","",0,"sona"
"961831MM",48,13,"BACKWARD READ VERSION A","NEW","BABY","CHILD","ON","S","Study Phase","90","Test","Recall1","NEWBORN",0,"sona"
"w10025409_jnl",71,13,"BACKWARD READ VERSION A","NEW","BABY","CHILD","ON","S","Study Phase","90","Test","Recall1","child",100,"sona"
"w10064595",66,13,"BACKWARD READ VERSION A","NEW","BABY","CHILD","ON","S","Study Phase","100","Test","Recall1","child",100,"sona"
"w10070345",39,13,"BACKWARD READ VERSION A","NEW","BABY","CHILD","ON","S","Study Phase","50","Test","Recall1","Adult",0,"sona"
"w981975_sha",45,13,"BACKWARD READ VERSION A","NEW","BABY","CHILD","ON","S","Study Phase","90","Test","Recall1","",0,"sona"
"961831MM",43,13,"BACKWARD READ VERSION A","NEW","BALL","RACKET","ON","B","Study Phase","23","Test","Recall1","SPORTS",0,"sona"
"w10025409_jnl",27,13,"BACKWARD READ VERSION A","NEW","BALL","RACKET","ON","B","Study Phase","60","Test","Recall1","rack",0,"sona"
"w10064595",61,13,"BACKWARD READ VERSION A","NEW","BALL","RACKET","ON","B","Study Phase","0","Test","Recall1","catcher",0,"sona"
"w10070345",95,13,"BACKWARD READ VERSION A","NEW","BALL","RACKET","ON","B","Study Phase","50","Test","Recall1","Racket",100,"sona"
"w981975_sha",27,13,"BACKWARD READ VERSION A","NEW","BALL","RACKET","ON","B","Study Phase","95","Test","Recall1","Racket",100,"sona"
