"Username","Condition.Description","Direction","Block","JOL","Recall","Version"
"w10006820_KPH","READ","U","1",2,0,"sona"
"w10012481","READ","U","1",0,0,"sona"
"w10051663JA","READ","U","1",43,0,"sona"
"W10091817_AB","READ","U","1",1,0,"sona"
"w927437_AH","READ","U","1",0,0,"sona"
"w10006820_KPH","READ","S","1",77,100,"sona"
"w10012481","READ","S","1",0,0,"sona"
"w10051663JA","READ","S","1",83,0,"sona"
"W10091817_AB","READ","S","1",50,0,"sona"
"w927437_AH","READ","S","1",90,100,"sona"
"w10006820_KPH","READ","U","1",3,0,"sona"
"w10012481","READ","U","1",0,100,"sona"
"w10051663JA","READ","U","1",30,0,"sona"
"W10091817_AB","READ","U","1",1,0,"sona"
"w927437_AH","READ","U","1",0,0,"sona"
"w10006820_KPH","READ","U","1",11,0,"sona"
"w10012481","READ","U","1",0,0,"sona"
"w10051663JA","READ","U","1",6,0,"sona"
"W10091817_AB","READ","U","1",7,0,"sona"
"w927437_AH","READ","U","1",0,0,"sona"
"w10006820_KPH","READ","S","1",7,100,"sona"
"w10012481","READ","S","1",13,0,"sona"
"w10051663JA","READ","S","1",16,0,"sona"
"W10091817_AB","READ","S","1",81,100,"sona"
"w927437_AH","READ","S","1",20,0,"sona"
"w10006820_KPH","READ","B","1",77,0,"sona"
"w10012481","READ","B","1",0,0,"sona"
"w10051663JA","READ","B","1",33,0,"sona"
"W10091817_AB","READ","B","1",52,100,"sona"
"w927437_AH","READ","B","1",0,0,"sona"
"w10006820_KPH","READ","S","1",79,100,"sona"
"w10012481","READ","S","1",100,100,"sona"
"w10051663JA","READ","S","1",89,100,"sona"
"W10091817_AB","READ","S","1",92,100,"sona"
"w927437_AH","READ","S","1",80,0,"sona"
"w10006820_KPH","READ","S","1",100,100,"sona"
"w10012481","READ","S","1",0,0,"sona"
"w10051663JA","READ","S","1",65,100,"sona"
"W10091817_AB","READ","S","1",100,100,"sona"
"w927437_AH","READ","S","1",100,100,"sona"
"w10006820_KPH","READ","F","1",9,0,"sona"
"w10012481","READ","F","1",100,100,"sona"
"w10051663JA","READ","F","1",59,0,"sona"
"W10091817_AB","READ","F","1",21,0,"sona"
"w927437_AH","READ","F","1",9,0,"sona"
"w10006820_KPH","READ","S","1",44,0,"sona"
"w10012481","READ","S","1",0,0,"sona"
"w10051663JA","READ","S","1",56,0,"sona"
"W10091817_AB","READ","S","1",46,100,"sona"
"w927437_AH","READ","S","1",79,0,"sona"
"w10006820_KPH","READ","F","1",20,100,"sona"
"w10012481","READ","F","1",100,100,"sona"
"w10051663JA","READ","F","1",44,100,"sona"
"W10091817_AB","READ","F","1",100,100,"sona"
"w927437_AH","READ","F","1",45,100,"sona"
"w10006820_KPH","READ","B","1",44,100,"sona"
"w10012481","READ","B","1",100,100,"sona"
"w10051663JA","READ","B","1",17,0,"sona"
"W10091817_AB","READ","B","1",72,100,"sona"
"w927437_AH","READ","B","1",85,0,"sona"
"w10006820_KPH","READ","U","1",16,0,"sona"
"w10012481","READ","U","1",0,0,"sona"
"w10051663JA","READ","U","1",4,0,"sona"
"W10091817_AB","READ","U","1",0,0,"sona"
"w927437_AH","READ","U","1",0,0,"sona"
"w10006820_KPH","READ","F","1",70,0,"sona"
"w10012481","READ","F","1",0,100,"sona"
"w10051663JA","READ","F","1",7,0,"sona"
"W10091817_AB","READ","F","1",17,100,"sona"
"w927437_AH","READ","F","1",0,100,"sona"
"w10006820_KPH","READ","S","1",67,100,"sona"
"w10012481","READ","S","1",15,0,"sona"
"w10051663JA","READ","S","1",98,100,"sona"
"W10091817_AB","READ","S","1",99,100,"sona"
"w927437_AH","READ","S","1",100,100,"sona"
"w10006820_KPH","READ","B","1",33,0,"sona"
"w10012481","READ","B","1",100,100,"sona"
"w10051663JA","READ","B","1",4,0,"sona"
"W10091817_AB","READ","B","1",92,0,"sona"
"w927437_AH","READ","B","1",98,0,"sona"
"w10006820_KPH","READ","F","1",100,100,"sona"
"w10012481","READ","F","1",100,100,"sona"
"w10051663JA","READ","F","1",29,0,"sona"
"W10091817_AB","READ","F","1",98,100,"sona"
"w927437_AH","READ","F","1",100,100,"sona"
"w10006820_KPH","READ","B","1",9,0,"sona"
"w10012481","READ","B","1",100,100,"sona"
"w10051663JA","READ","B","1",45,0,"sona"
"W10091817_AB","READ","B","1",82,0,"sona"
"w927437_AH","READ","B","1",50,0,"sona"
"w10006820_KPH","READ","U","1",1,0,"sona"
"w10012481","READ","U","1",0,0,"sona"
"w10051663JA","READ","U","1",61,100,"sona"
"W10091817_AB","READ","U","1",16,0,"sona"
"w927437_AH","READ","U","1",1,0,"sona"
"w10006820_KPH","READ","U","1",2,0,"sona"
"w10012481","READ","U","1",0,0,"sona"
"w10051663JA","READ","U","1",26,0,"sona"
"W10091817_AB","READ","U","1",5,0,"sona"
"w927437_AH","READ","U","1",0,0,"sona"
"w10006820_KPH","READ","F","1",77,100,"sona"
"w10012481","READ","F","1",100,100,"sona"
"w10051663JA","READ","F","1",63,0,"sona"
"W10091817_AB","READ","F","1",54,0,"sona"
"w927437_AH","READ","F","1",100,100,"sona"
"w10006820_KPH","READ","U","1",25,0,"sona"
"w10012481","READ","U","1",0,0,"sona"
"w10051663JA","READ","U","1",30,0,"sona"
"W10091817_AB","READ","U","1",3,0,"sona"
"w927437_AH","READ","U","1",0,0,"sona"
"w10006820_KPH","READ","F","1",90,0,"sona"
"w10012481","READ","F","1",0,100,"sona"
"w10051663JA","READ","F","1",28,0,"sona"
"W10091817_AB","READ","F","1",77,0,"sona"
"w927437_AH","READ","F","1",70,100,"sona"
"w10006820_KPH","READ","U","1",4,0,"sona"
"w10012481","READ","U","1",0,0,"sona"
"w10051663JA","READ","U","1",81,100,"sona"
"W10091817_AB","READ","U","1",2,0,"sona"
"w927437_AH","READ","U","1",0,0,"sona"
"w10006820_KPH","READ","F","1",5,0,"sona"
"w10012481","READ","F","1",0,100,"sona"
"w10051663JA","READ","F","1",74,0,"sona"
"W10091817_AB","READ","F","1",75,0,"sona"
"w927437_AH","READ","F","1",90,100,"sona"
"w10006820_KPH","READ","B","1",90,100,"sona"
"w10012481","READ","B","1",100,100,"sona"
"w10051663JA","READ","B","1",33,0,"sona"
"W10091817_AB","READ","B","1",61,100,"sona"
"w927437_AH","READ","B","1",100,0,"sona"
"w10006820_KPH","READ","S","1",100,0,"sona"
