"Subject","B","F","S","U"
9,22.5,57.5,62.5,2.5
10,29.7297297297297,56.4102564102564,57.5,7.69230769230769
11,55,70,65,20
21,65,90,92.5,30
22,52.5,94.8717948717949,90,46.1538461538462
23,77.5,85,92.5,55
33,37.5,75,70,20
34,62.5,97.5,90,67.5
35,72.5,77.5,78.9473684210526,50
45,77.5,95,97.5,62.5
46,75,97.5,97.5,65
47,65,77.5,71.7948717948718,23.0769230769231
57,62.5,95,87.5,47.5
58,22.5,50,55,17.5
59,41.025641025641,45,50,2.5
69,62.5,85,85,20
70,72.5,100,95,55
71,47.5,57.5,65,25
81,20,75,55,7.5
82,52.5,77.5,72.5,50
90,62.5,92.5,85,45
91,85,100,100,87.5
92,15,65,57.5,5
93,22.5,50,60,7.5
94,45,87.5,55,30
95,60,87.5,92.5,57.5
96,50,82.5,80,27.5
97,52.5,92.5,69.2307692307692,20
98,27.5,50,48.7179487179487,2.5
99,42.5,72.5,82.5,38.4615384615385
100,27.5,55,45,12.5
