"Subject","B","F","S","U"
5,72.875,71.9230769230769,88.75,30.575
6,74.7,69.325,82.925,25.125
7,66.525,68.425,75.975,36.95
8,62,58.25,70.75,18.75
17,80.4210526315789,78.275,78.825,42.8
18,26.5897435897436,33.3,51.55,19.45
19,83.25,80.25,78.55,55
20,41.35,45.5384615384615,45,42.2
29,77.3,71.3,68.2,58.075
30,81.975,82.6,68.35,53.3
31,65.325,64.15,73.075,26.55
32,38.075,42.025,43.3,9.15
41,47.25,49,74.375,17.575
42,56.625,50.25,54.875,43.875
43,90.2564102564103,88.9,80.3,50.125
44,94.1,95.625,99,60.75
53,91.95,66.9,66.775,36.925
54,94.65,95.45,89.1,87.875
55,88.3,85.7,72.025,62.825
56,75.9,73.925,85.6410256410256,47.075
65,77,78.975,75.725,67.825
66,74.5,77.25,67,6.75
67,70.425,69.375,82.025,33.7179487179487
68,53.725,53.875,53.55,54.3589743589744
77,52.75,51.625,66.25,33.75
78,49.325,48.1,42.025,45.3076923076923
79,80.5263157894737,81.925,83.8205128205128,78.1
80,74.825,83.875,76.275,7.825
89,75.125,74.875,83.75,26.25
