"Subject","B","F","S","U"
13,87.125,88.6666666666667,95.65,20.8461538461538
14,64.875,77.1,78.975,7.35
15,74.925,75.3,81.5,40.3
16,64.125,60.875,67.5,43.475
25,75.725,61.1538461538462,82.625,54.95
26,81.25,82.125,95.625,15.1282051282051
27,84.875,81.575,84.475,36.5
28,61.05,68.475,63.95,11.65
37,84.075,89.025,96,13.875
38,58.55,58.575,64.0512820512821,57.35
39,69.05,66.425,102.1,35.4358974358974
40,57.375,58.5,67.325,16.55
49,53.25,61.4,92.1,24.475
50,59,62.375,81.875,40.775
51,61.25,66.775,77.95,26.9
52,53.3076923076923,56.75,60.6,20.875
61,81.5,75.3846153846154,80.2307692307692,41.325
62,90.775,73.975,84.7,17.4
63,79.125,72.45,90.6,13.1315789473684
64,58.025,62.675,69.5,22.0512820512821
73,71.6,75.125,81.625,18.75
74,68.4615384615385,72.5641025641026,79.5,5.64102564102564
75,45.5128205128205,46,57.375,0
76,55.825,66.875,82.125,29.5
85,60.25,65.5,81.35,6.97435897435897
86,78.025,89.5,88.75,8.71794871794872
87,69.65,74.175,79.55,19.675
88,71.75,73.775,78.125,44.125
