"Subject","B","F","S","U"
13,55,91.6666666666667,72.5,30.7692307692308
14,57.5,82.5,92.5,25
15,40,52.5,65,2.5
16,50,80,85,37.5
25,20,46.1538461538462,50,15
26,12.5,47.5,37.5,10.2564102564103
27,52.5,75,80,15
28,32.5,80,85,17.5
37,62.5,85,80,20
38,17.5,55,53.8461538461538,20
39,42.5,40,57.5,5.12820512820513
40,35,75,87.5,10
49,27.5,67.5,55,5
50,25,72.5,72.5,20
51,47.5,55,67.5,27.5
52,15.3846153846154,37.5,47.5,7.5
61,50,64.1025641025641,71.7948717948718,7.5
62,30,87.5,70,22.5
63,52.5,37.5,42.5,5.26315789473684
64,15,60,52.5,2.56410256410256
73,45,65,55,7.5
74,35.8974358974359,89.7435897435897,77.5,10.2564102564103
75,61.5384615384615,72.5,77.5,7.5
76,17.5,32.5,32.5,5
85,35,77.5,55,20.5128205128205
86,25,70,60,5.12820512820513
87,32.5,35,40,7.5
88,65,95,92.5,42.5
