"Subject","B","F","S","U"
9,79.825,72.875,81.175,9.775
10,40.9189189189189,50.5384615384615,54.9,40.4615384615385
11,70.125,61.5,80.875,13.875
21,84.925,86.75,96.975,36.675
22,88.675,87.974358974359,89.275,67.7179487179487
23,54.875,54.875,60.875,38.875
33,54.5,58.25,53.75,52.5
34,75.875,72.95,72.125,62.925
35,84.85,80.775,89.2105263157895,57.825
45,84.475,80.475,87.15,48.375
46,49.725,58.725,61.275,11.375
47,93.95,95.525,96.6666666666667,61.2820512820513
57,69.075,68.05,73.675,42.125
58,91.225,89.275,93.825,52.025
59,78.974358974359,79.25,71.75,39
69,66.55,74.925,77.125,10.75
70,83.85,78.875,84.875,40.775
71,61.95,78.95,70.35,38.075
81,62.025,54.675,69.65,42.725
82,44.875,40.375,39.25,31.975
90,64.475,65.3,81.575,25.225
91,94.3,92.475,92.75,54.25
92,79.5,87.25,79.975,42.5
93,64.65,83.275,68.5,36.125
94,83.8,76.475,72.325,42.05
95,82.75,80.75,82.25,33.25
96,79.475,82.825,84.575,10.8
97,87.25,84,87.1794871794872,34
98,44,61.75,66.1538461538462,8.075
99,61.425,66,66.375,16.7435897435897
100,52.95,56,63.6,33.225
