"Subject","B","F","S","U"
5,37.5,71.7948717948718,62.5,20
6,22.5,42.5,32.5,2.5
7,57.5,77.5,75,20
8,12.5,40,50,2.5
17,55.2631578947368,87.5,85,15
18,43.5897435897436,80,87.5,30
19,75,90,87.5,15
20,60,89.7435897435897,80,0
29,72.5,92.5,95,30
30,80,90,95,32.5
31,70,85,100,30
32,52.5,77.5,70,10
41,62.5,90,85,5
42,75,95,92.5,45
43,71.7948717948718,80,90,5
44,37.5,87.5,72.5,20
53,50,72.5,60,0
54,40,62.5,65,2.5
55,77.5,77.5,90,15
56,72.5,97.5,94.8717948717949,7.5
65,60,70,72.5,0
66,80,95,95,30
67,85,72.5,80,20.5128205128205
68,65,82.5,85,17.9487179487179
77,77.5,65,90,15
78,82.5,95,90,12.8205128205128
79,42.1052631578947,65,56.4102564102564,2.5
80,55,95,80,5
89,37.5,60,50,5
