"ExperimentName","Subject","Block","list","Procedure.Block.","cue_target","Direction","ListNum","JOL","JOL_RT","Procedure.Trial.","Type","Recall_prompt","ListNum.1","Response"
"IS_JOL A",5,1,3,"BlockProc1","Hornet - Sting","F",6,NA,NA,"StudyProc7","JOL","Hornet - ?",6,""
"IS_JOL A",5,1,3,"BlockProc1","Bitter - Cold","F",7,NA,NA,"StudyProc7","JOL","Bitter - ?",7,"cold"
"IS_JOL A",5,1,3,"BlockProc1","Root - Plant","F",8,NA,NA,"StudyProc7","JOL","Root - ?",8,"plant"
"IS_JOL A",5,1,3,"BlockProc1","Swan - Bird","F",9,NA,NA,"StudyProc7","JOL","Swan - ?",9,""
"IS_JOL A",5,1,3,"BlockProc1","Paw - Dog","F",10,NA,NA,"StudyProc7","JOL","Paw - ?",10,"dog"
"IS_JOL A",5,1,3,"BlockProc1","Way - Out","F",11,NA,NA,"StudyProc7","JOL","Way - ?",11,""
"IS_JOL A",5,1,3,"BlockProc1","Hygiene - Clean","F",12,NA,NA,"StudyProc7","JOL","Hygiene - ?",12,"clean"
"IS_JOL A",5,1,3,"BlockProc1","Bridge - Water","F",13,NA,NA,"StudyProc7","JOL","Bridge - ?",13,"water"
"IS_JOL A",5,1,3,"BlockProc1","Geology - Rock","F",14,NA,NA,"StudyProc7","JOL","Geology - ?",14,"rock"
"IS_JOL A",5,1,3,"BlockProc1","Revolution - War","F",15,NA,NA,"StudyProc7","JOL","Revolution - ?",15,"war"
"IS_JOL A",5,1,3,"BlockProc1","Discussion - Talk","F",16,NA,NA,"StudyProc7","JOL","Discussion - ?",16,"talk"
"IS_JOL A",5,1,3,"BlockProc1","Herd - Cow","F",17,NA,NA,"StudyProc7","JOL","Herd - ?",17,"cow"
"IS_JOL A",5,1,3,"BlockProc1","Credit - Card","F",18,NA,NA,"StudyProc7","JOL","Credit - ?",18,"card"
"IS_JOL A",5,1,3,"BlockProc1","Orchid - Flower","F",19,NA,NA,"StudyProc7","JOL","Orchid - ?",19,"flower"
"IS_JOL A",5,1,3,"BlockProc1","Tuna - Fish","F",20,NA,NA,"StudyProc7","JOL","Tuna - ?",20,"fish"
"IS_JOL A",5,1,3,"BlockProc1","Full - Enough","B",21,NA,NA,"StudyProc7","JOL","Full - ?",21,"enough"
"IS_JOL A",5,1,3,"BlockProc1","Drink - Sip","B",22,NA,NA,"StudyProc7","JOL","Drink - ?",22,""
"IS_JOL A",5,1,3,"BlockProc1","Dark - Cave","B",23,NA,NA,"StudyProc7","JOL","Dark - ?",23,""
