ExperimentName,Subject,Block,list,Procedure[Block],cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,pword8.RESP,pword8.RT,pword9.RESP,pword9.RT,Procedure[Trial]
RL_JOL C,83.5,1,,BlockProc1,Behavior-Social,,9,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Deaf-Mute,,2,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Chime-Music,,8,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Hinge-Swing,,5,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Chocolate-Bar,,7,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Fashion-Model,,10,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Aardvark-Zoo,,1,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Ham-Bone,,3,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Disbelieve-Skeptic,,6,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,,BlockProc1,Paddle-Row,,4,,,,,,,,,,,,Practice1
RL_JOL C,83.5,1,3,BlockProc1,Shrimp - Fish,,4,,,,,,,,,,,,StudyProc1
RL_JOL C,83.5,1,3,BlockProc1,Snow - Ice,,3,,,,,,,,,,,,StudyProc1
RL_JOL C,83.5,1,3,BlockProc1,Member - Group,,5,,,,,,,,,,,,StudyProc1
RL_JOL C,83.5,1,3,BlockProc1,Curtain - Drapes,,2,,,,,,,,,,,,StudyProc1
RL_JOL C,83.5,1,3,BlockProc1,Haircut-Scissors,,1,,,,,,,,,,,,StudyProc1
RL_JOL C,83.5,1,3,BlockProc1,Waste - Dump,S,44,50,12597,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Belt - Soon,U,65,0,17043,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Bar - Grill,S,47,50,8104,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Business - Death,U,67,10,6146,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Toilet - Bathroom,S,53,688,7411,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Liver - Kidney,S,48,0,23457,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Bee - Honey,S,58,78,6196,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Sacking -Dietary,U,62,15,6907,,,,,,,,,,StudyProc3
RL_JOL C,83.5,1,3,BlockProc1,Design - Architecture,S,46,50,11613,,,,,,,,,,StudyProc3
