ExperimentName,Subject,Block,list,Procedure[Block],cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,pword8.RESP,pword8.RT,pword10.RESP,pword10.RT,Procedure[Trial]
IS_JOL A,17,1,,BlockProc1,Hinge-Swing,,5,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Ham-Bone,,3,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Deaf-Mute,,2,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Aardvark-Zoo,,1,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Disbelieve-Skeptic,,6,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Paddle-Row,,4,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Behavior-Social,,9,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Chocolate-Bar,,7,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Chime-Music,,8,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Fashion-Model,,10,,,,,,,,,,,,Practice1
IS_JOL A,17,1,3,BlockProc1,Shrimp - Fish,,4,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Member - Group,,5,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Snow - Ice,,3,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Curtain - Drapes,,2,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Haircut-Scissors,,1,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Kidney - Liver,S,48,76,12201,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Lift - Woman,U,64,30,20605,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Location - Site,S,43,60,13735,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Past - Future,S,56,90,10091,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Choice - Decision,S,57,89,11462,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Soon - Belt,U,65,10,12863,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Happy - Car,U,72,55,16080,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Wine - Cheese,S,52,67,14299,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Grill - Bar,S,47,60,8424,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Bathroom - Toilet,S,53,80,15423,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Hide - Sick,U,79,20,26070,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Debate - Sight,U,68,30,10153,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Fix - Hand,U,70,70,11392,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Honey - Bee,S,58,90,10581,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Art - Lion,U,74,65,22267,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Sugar - Riddle,U,76,40,31137,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Strong - Accident,U,75,45,21821,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Architecture - Design,S,46,85,14951,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Shoe - Foot,S,55,90,4217,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Death - Business,U,67,15,5787,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Park - Hungry,U,63,34,9062,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Pusher - Clutter,U,61,34,12593,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Allow - Tuck,U,73,23,14365,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Machine - Position,U,71,45,18576,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Pop - Soda,S,51,100,6270,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Valley - Add,U,77,25,10884,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Dietary - Slacking,U,62,45,10109,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Begin - End,S,49,95,6494,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Due - Assignment,S,41,89,7883,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Dump - Waste,S,44,80,12575,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Discover - Floor,U,66,35,7155,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Circle - Round,S,60,95,6997,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Blow - Wind,S,50,70,5278,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Number - Amount,S,42,67,6525,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Trial - Jury,S,45,76,5976,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Cash - Would,U,78,15,7834,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Artery - Bronze,U,69,24,9552,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Baby - Child,S,59,80,4776,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Lettuce - Salad,S,54,86,6291,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,King - Vase,U,80,10,7704,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Math - Division,B,28,,,,,,,,,,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Smell - Stench,B,37,,,,,,,,,,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Key - Latch,B,31,,,,,,,,,,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Bug - Wasp,B,27,,,,,,,,,,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Swan - Bird,F,9,,,,,,,,,,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Drink - Sip,B,22,,,,,,,,,,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Way - Out,F,11,,,,,,,,,,,,StudyProc7
