ExperimentName,Subject,Block,list,Procedure[Block],cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,pword8.RESP,pword8.RT,pword9.RESP,pword9.RT,pword10.RESP,pword10.RT,Procedure[Trial]
IS_JOL A,65,1,,BlockProc1,Deaf-Mute,,2,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Chime-Music,,8,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Chocolate-Bar,,7,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Behavior-Social,,9,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Aardvark-Zoo,,1,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Hinge-Swing,,5,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Ham-Bone,,3,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Paddle-Row,,4,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Fashion-Model,,10,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,,BlockProc1,Disbelieve-Skeptic,,6,,,,,,,,,,,,,,Practice1
IS_JOL A,65,1,3,BlockProc1,Shrimp - Fish,,4,,,,,,,,,,,,,,StudyProc1
IS_JOL A,65,1,3,BlockProc1,Curtain - Drapes,,2,,,,,,,,,,,,,,StudyProc1
IS_JOL A,65,1,3,BlockProc1,Member - Group,,5,,,,,,,,,,,,,,StudyProc1
IS_JOL A,65,1,3,BlockProc1,Snow - Ice,,3,,,,,,,,,,,,,,StudyProc1
IS_JOL A,65,1,3,BlockProc1,Haircut-Scissors,,1,,,,,,,,,,,,,,StudyProc1
IS_JOL A,65,1,3,BlockProc1,Architecture - Design,S,46,70,17391,,,,,,,,,,,,StudyProc3
IS_JOL A,65,1,3,BlockProc1,Happy - Car,U,72,100,6349,,,,,,,,,,,,StudyProc3
IS_JOL A,65,1,3,BlockProc1,Kidney - Liver,S,48,0,30584,,,,,,,,,,,,StudyProc3
IS_JOL A,65,1,3,BlockProc1,Lettuce - Salad,S,54,100,15738,,,,,,,,,,,,StudyProc3
IS_JOL A,65,1,3,BlockProc1,Begin - End,S,49,100,5933,,,,,,,,,,,,StudyProc3
IS_JOL A,65,1,3,BlockProc1,Number - Amount,S,42,100,10265,,,,,,,,,,,,StudyProc3
IS_JOL A,65,1,3,BlockProc1,Discover - Floor,U,66,80,13443,,,,,,,,,,,,StudyProc3
