"ExperimentName","Subject","Direction","JOL","RT","recall_cue","Recall_Response","sorted_JOL_CUE","sorted_JOL_TARGET","percent_match","scored"
"READ_JOL A",13,"F",100,4552,"Delinquent","bad","Delinquent","bad",100,1
"READ_JOL A",13,"F",100,3821,"Digestion","stomach","Digestion","stomach",100,1
"READ_JOL A",13,"F",100,3865,"Wage","money","Wage","money",100,1
"READ_JOL A",13,"F",40,13136,"Chisel","hammer","Chisel","hammer",100,1
"READ_JOL A",13,"F",70,7071,"Editor","news","Editor","news",100,1
"READ_JOL A",13,"F",100,5821,"Hornet","sting","Hornet","sting",100,1
"READ_JOL A",13,"F",30,6872,"Bitter","cold","Bitter","cold",100,1
"READ_JOL A",13,"F",100,6690,"Root","plant","Root","plant",100,1
"READ_JOL A",13,"F",100,3673,"Swan","bird","Swan","bird",100,1
"READ_JOL A",13,"F",100,3201,"Paw","dog","Paw","dog",100,1
"READ_JOL A",13,"F",100,2923,"Way","out","Way","out",100,1
"READ_JOL A",13,"F",100,2688,"Hygiene","clean","Hygiene","clean",100,1
"READ_JOL A",13,"F",80,7840,"Bridge","water","Bridge","water",100,1
"READ_JOL A",13,"F",90,9187,"Geology","rock","Geology","rock",100,1
"READ_JOL A",13,"F",100,7950,"Revolution","war","Revolution","war",100,1
"READ_JOL A",13,"F",95,5014,"Discussion","talk","Discussion","talk",100,1
"READ_JOL A",13,"F",96,7170,"Herd","cow","Herd","cow",100,1
"READ_JOL A",13,"F",100,2415,"Credit","card","Credit","card",100,1
"READ_JOL A",13,"F",100,4332,"Orchid","flower","Orchid","flower",100,1
"READ_JOL A",13,"F",100,2872,"Tuna","fish","Tuna","fish",100,1
"READ_JOL A",13,"B",100,5315,"Full","enough","Full","enough",100,1
"READ_JOL A",13,"B",100,4756,"Drink","pop","Drink","sip",0,0
"READ_JOL A",13,"B",60,9230,"Dark","cave","Dark","cave",100,1
"READ_JOL A",13,"B",100,3529,"Take","out","Take","seize",0,0
"READ_JOL A",13,"B",96,9426,"Height","growth","Height","growth",100,1
"READ_JOL A",13,"B",98,6292,"Sentence","trial","Sentence","word",0,0
"READ_JOL A",13,"B",75,14858,"Bug","wasp","Bug","wasp",100,1
"READ_JOL A",13,"B",100,3728,"Math","deparent","Math","division",0,0
"READ_JOL A",13,"B",100,6151,"Law","attorney","Law","attorney",100,1
"READ_JOL A",13,"B",100,3758,"Great","good","Great","fantastic",0,0
"READ_JOL A",13,"B",100,3963,"Key","holder","Key","latch",0,0
"READ_JOL A",13,"B",100,6109,"Hot","summer","Hot","chili",0,0
"READ_JOL A",13,"B",80,12242,"Ball","racket","Ball","racket",100,1
"READ_JOL A",13,"B",100,4610,"Work","chore","Work","chore",100,1
"READ_JOL A",13,"B",100,3734,"Hunger","park","Hunger","famine",0,0
"READ_JOL A",13,"B",100,3041,"Sleep","tired","Sleep","drowsy",0,0
"READ_JOL A",13,"B",100,3485,"Smell","stench","Smell","stench",100,1
"READ_JOL A",13,"B",100,2723,"Clothes","shirt","Clothes","attire",0,0
"READ_JOL A",13,"B",100,7548,"Plane","pilot","Plane","pilot",100,1
"READ_JOL A",13,"B",95,6191,"Fire","blaze","Fire","blaze",100,1
"READ_JOL A",13,"S",100,2997,"Due","assignment","Due","assignment",100,1
"READ_JOL A",13,"S",100,3223,"Number","amount","Number","amount",100,1
"READ_JOL A",13,"S",100,3463,"Location","place","Location","site",0,0
"READ_JOL A",13,"S",100,3364,"Dump","truck","Dump","waste",0,0
"READ_JOL A",13,"S",100,2879,"Trial","end","Trial","jury",0,0
"READ_JOL A",13,"S",98,5790,"Architecture","design","Architecture","design",100,1
"READ_JOL A",13,"S",100,3690,"Grill","bar","Grill","bar",100,1
"READ_JOL A",13,"S",90,5511,"Kidney","liver","Kidney","liver",100,1
"READ_JOL A",13,"S",78,8497,"Begin","end","Begin","end",100,1
"READ_JOL A",13,"S",100,6320,"Blow","wind","Blow","wind",100,1
"READ_JOL A",13,"S",100,2694,"Pop","soda","Pop","soda",100,1
"READ_JOL A",13,"S",100,2615,"Wine","cheese","Wine","cheese",100,1
"READ_JOL A",13,"S",100,2545,"Bathroom","toilet","Bathroom","toilet",100,1
"READ_JOL A",13,"S",100,2455,"Lettuce","salad","Lettuce","salad",100,1
"READ_JOL A",13,"S",90,4236,"Shoe","foot","Shoe","foot",100,1
"READ_JOL A",13,"S",100,2506,"Past","end","Past","future",0,0
"READ_JOL A",13,"S",100,2918,"Choice","decide","Choice","decision",0,0
"READ_JOL A",13,"S",100,2857,"Honey","bee","Honey","bee",100,1
"READ_JOL A",13,"S",100,3071,"Baby","child","Baby","child",100,1
