ExperimentName,Subject,Block,list,Procedure[Block],cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,pword8.RESP,pword8.RT,pword9.RESP,pword9.RT,Procedure[Trial]
RL_JOL D,100,1,,BlockProc1,Hinge-Swing,,5,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Behavior-Social,,9,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Deaf-Mute,,2,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Disbelieve-Skeptic,,6,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Chime-Music,,8,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Ham-Bone,,3,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Fashion-Model,,10,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Chocolate-Bar,,7,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Aardvark-Zoo,,1,,,,,,,,,,,,Practice1
RL_JOL D,100,1,,BlockProc1,Paddle-Row,,4,,,,,,,,,,,,Practice1
RL_JOL D,100,1,3,BlockProc1,Shrimp - Fish,,4,,,,,,,,,,,,StudyProc1
RL_JOL D,100,1,3,BlockProc1,Curtain - Drapes,,2,,,,,,,,,,,,StudyProc1
RL_JOL D,100,1,3,BlockProc1,Snow - Ice,,3,,,,,,,,,,,,StudyProc1
RL_JOL D,100,1,3,BlockProc1,Member - Group,,5,,,,,,,,,,,,StudyProc1
RL_JOL D,100,1,3,BlockProc1,Haircut-Scissors,,1,,,,,,,,,,,,StudyProc1
RL_JOL D,100,1,3,BlockProc1,Eat - Dine,B,16,76,5779,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Favorite - Best,F,30,67,11237,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Mystery - Detective,B,5,56,6529,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,League - Baseball,F,36,89,5325,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Thimble - Thread,F,26,12,9089,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Long - Extension,B,1,45,4435,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Sardine - Fish,F,35,38,4821,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Plant - Cactus,B,3,45,10415,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Red - Cherry,B,9,43,10811,,,,,,,,,,StudyProc3
RL_JOL D,100,1,3,BlockProc1,Brawl - Fight,F,40,35,5695,,,,,,,,,,StudyProc3
