ExperimentName,Subject,Block,list,Procedure[Block],cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,pword8.RESP,pword8.RT,pword9.RESP,pword9.RT,pword10.RESP,pword10.RT,Procedure[Trial]
IS_JOL A,53,1,,BlockProc1,Chime-Music,,8,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Fashion-Model,,10,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Ham-Bone,,3,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Deaf-Mute,,2,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Behavior-Social,,9,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Disbelieve-Skeptic,,6,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Aardvark-Zoo,,1,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Paddle-Row,,4,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Chocolate-Bar,,7,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,,BlockProc1,Hinge-Swing,,5,,,,,,,,,,,,,,Practice1
IS_JOL A,53,1,3,BlockProc1,Shrimp - Fish,,4,,,,,,,,,,,,,,StudyProc1
IS_JOL A,53,1,3,BlockProc1,Curtain - Drapes,,2,,,,,,,,,,,,,,StudyProc1
IS_JOL A,53,1,3,BlockProc1,Haircut-Scissors,,1,,,,,,,,,,,,,,StudyProc1
IS_JOL A,53,1,3,BlockProc1,Member - Group,,5,,,,,,,,,,,,,,StudyProc1
IS_JOL A,53,1,3,BlockProc1,Snow - Ice,,3,,,,,,,,,,,,,,StudyProc1
IS_JOL A,53,1,3,BlockProc1,Blow - Wind,S,50,100,15163,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,King - Vase,U,80,10,30802,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Soon - Belt,U,65,10,17207,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Circle - Round,S,60,10,19908,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Grill - Bar,S,47,100,18302,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Art - Lion,U,74,10,17336,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Allow - Tuck,U,73,10,25160,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Kidney - Liver,S,48,10,20279,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Shoe - Foot,S,55,100,20034,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Hide - Sick,U,79,10,17918,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Discover - Floor,U,66,10,17440,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Baby - Child,S,59,10,25508,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Trial - Jury,S,45,100,19709,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Bathroom - Toilet,S,53,100,20782,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Architecture - Design,S,46,100,27341,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Sugar - Riddle,U,76,10,21572,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Park - Hungry,U,63,10,16451,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Machine - Position,U,71,10,25143,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Pop - Soda,S,51,100,34551,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Death - Business,U,67,10,18694,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Number - Amount,S,42,100,23392,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Lettuce - Salad,S,54,0,25173,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Due - Assignment,S,41,10,19460,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Dump - Waste,S,44,10,29191,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Dietary - Sacking,U,62,10,31228,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Pusher - Clutter,U,61,10,25792,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Honey - Bee,S,58,100,20750,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Cash - Would,U,78,10,27086,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Choice - Decision,S,57,100,24239,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Past - Future,S,56,100,15195,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Location - Site,S,43,100,28137,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Fix - Hand,U,70,10,20649,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Wine - Cheese,S,52,100,20021,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Valley - Add,U,77,10,18481,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Happy - Car,U,72,10,15468,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Strong - Accident,U,75,10,19728,,,,,,,,,,,,StudyProc3
IS_JOL A,53,1,3,BlockProc1,Artery - Bronze,U,69,10,36280,,,,,,,,,,,,StudyProc3
