"ExperimentName","Subject","Block","list","Procedure.Block.","cue_target","Direction","ListNum","JOL","RT","Procedure.Trial.","Type","Procedure.Block..1","cue_target.1","ListNum.1","Response","Procedure.Trial..1","Type.1"
"IS_JOL A",41,1,3,"BlockProc1","Hornet - Sting","F",6,45,34055,"StudyProc7","JOL","BlockProc1","Hornet - ?",6,"sting","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Bitter - Cold","F",7,80,29780,"StudyProc7","JOL","BlockProc1","Bitter - ?",7,"cold","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Root - Plant","F",8,60,27728,"StudyProc7","JOL","BlockProc1","Root - ?",8,"plant","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Swan - Bird","F",9,30,16792,"StudyProc7","JOL","BlockProc1","Swan - ?",9,"bird","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Paw - Dog","F",10,70,12643,"StudyProc7","JOL","BlockProc1","Paw - ?",10,"dog","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Way - Out","F",11,30,13715,"StudyProc7","JOL","BlockProc1","Way - ?",11,"out","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Hygiene - Clean","F",12,55,27272,"StudyProc7","JOL","BlockProc1","Hygiene - ?",12,"clean","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Bridge - Water","F",13,50,29689,"StudyProc7","JOL","BlockProc1","Bridge - ?",13,"water","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Geology - Rock","F",14,60,18651,"StudyProc7","JOL","BlockProc1","Geology - ?",14,"rock","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Revolution - War","F",15,30,31728,"StudyProc7","JOL","BlockProc1","Revolution - ?",15,"war","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Discussion - Talk","F",16,50,15999,"StudyProc7","JOL","BlockProc1","Discussion - ?",16,"tlk","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Herd - Cow","F",17,50,17551,"StudyProc7","JOL","BlockProc1","Herd - ?",17,"cow","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Credit - Card","F",18,80,36443,"StudyProc7","JOL","BlockProc1","Credit - ?",18,"card","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Orchid - Flower","F",19,75,33293,"StudyProc7","JOL","BlockProc1","Orchid - ?",19,"flower","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Tuna - Fish","F",20,45,34586,"StudyProc7","JOL","BlockProc1","Tuna - ?",20,"fish","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Full - Enough","B",21,10,23250,"StudyProc7","JOL","BlockProc1","Full - ?",21,"enough","recallproc1","recall"
"IS_JOL A",41,1,3,"BlockProc1","Drink - Sip","B",22,45,29935,"StudyProc7","JOL","BlockProc1","Drink - ?",22,"soda","recallproc1","recall"
