ExperimentName,Subject,Block,list,Procedure[Block],cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,pword8.RESP,pword8.RT,pword9.RESP,pword9.RT,pword10.RESP,pword10.RT,Procedure[Trial]
IS_JOL A,41,1,,BlockProc1,Fashion-Model,,10,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Chime-Music,,8,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Ham-Bone,,3,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Chocolate-Bar,,7,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Deaf-Mute,,2,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Disbelieve-Skeptic,,6,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Hinge-Swing,,5,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Paddle-Row,,4,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Behavior-Social,,9,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,,BlockProc1,Aardvark-Zoo,,1,,,,,,,,,,,,,,Practice1
IS_JOL A,41,1,3,BlockProc1,Snow - Ice,,3,,,,,,,,,,,,,,StudyProc1
IS_JOL A,41,1,3,BlockProc1,Curtain - Drapes,,2,,,,,,,,,,,,,,StudyProc1
IS_JOL A,41,1,3,BlockProc1,Shrimp - Fish,,4,,,,,,,,,,,,,,StudyProc1
IS_JOL A,41,1,3,BlockProc1,Haircut-Scissors,,1,,,,,,,,,,,,,,StudyProc1
IS_JOL A,41,1,3,BlockProc1,Member - Group,,5,,,,,,,,,,,,,,StudyProc1
IS_JOL A,41,1,3,BlockProc1,Sugar - Riddle,U,76,20,14423,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Hide - Sick,U,79,70,21975,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Debate - Sight,U,68,15,21122,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Strong - Accident,U,75,65,28847,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Valley - Add,U,77,10,23664,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Machine - Position,U,71,50,24974,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Soon - Belt,U,65,10,25678,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Discover - Floor,U,66,20,30161,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Death - Business,U,67,70,23973,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Begin - End,S,49,80,14615,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Art - Lion,U,74,10,22447,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Dump - Waste,S,44,70,23263,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Choice - Decision,S,57,75,25421,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Grill - Bar,S,47,80,23643,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Past - Future,S,56,90,17105,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Fix - Hand,U,70,20,18532,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Number - Amount,S,42,40,22220,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,King - Vase,U,80,10,16813,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Shoe - Foot,S,55,80,34243,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Dietary - Slacking,U,62,8,19568,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Kidney - Liver,S,48,60,27461,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Pop - Soda,S,51,75,29439,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Cash - Would,U,78,15,17833,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Honey - Bee,S,58,90,25141,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Park - Hungry,U,63,30,22783,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Due - Assignment,S,41,70,22713,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Location - Site,S,43,60,20141,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Happy - Car,U,72,25,14347,,,,,,,,,,,,StudyProc3
IS_JOL A,41,1,3,BlockProc1,Circle - Round,S,60,80,24999,,,,,,,,,,,,StudyProc3
