Average,Upper,Lower,JOL_Bin,Direction,Encoding
18.18181818,22.32446131,14.03917506,0,B,IS
18.47278405,22.6817224,14.26384569,10,B,IS
19.58517377,24.04756497,15.12278257,20,B,IS
26.78908097,32.89284909,20.68531285,30,B,IS
31.85067215,39.1077004,24.59364391,40,B,IS
36.44238225,44.74561039,28.13915412,50,B,IS
38.57913439,47.36921162,29.78905717,60,B,IS
34.59001142,42.47118543,26.7088374,70,B,IS
36.89937961,45.30673248,28.49202674,80,B,IS
39.70858021,48.75599644,30.66116399,90,B,IS
50.73529412,62.29509608,39.17549216,100,B,IS
20,29.43369464,10.56630536,0,F,IS
34.86260454,45.37571754,24.34949154,10,F,IS
49.27436925,60.72402999,37.8247085,20,F,IS
64.01009543,75.07767329,52.94251757,30,F,IS
67.62042845,77.77918352,57.46167339,40,F,IS
69.17574194,79.98433754,58.36714633,50,F,IS
71.21187176,81.91524641,60.50849711,60,F,IS
73.74426683,83.01819723,64.47033643,70,F,IS
74.95311457,84.99010305,64.91612609,80,F,IS
73.54614039,83.86428208,63.2279987,90,F,IS
75.12690355,85.0012409,65.2525662,100,F,IS
56.25,67.92360154,44.57639846,0,S,IS
47.87912913,58.7863959,36.97186236,10,S,IS
46.39103389,57.90241832,34.87964946,20,S,IS
50.34841593,61.83645051,38.86038135,30,S,IS
53.70720951,65.12545823,42.28896079,40,S,IS
57.87387617,68.86162131,46.88613103,50,S,IS
65.778356,76.77456301,54.78214898,60,S,IS
63.53197918,74.14922635,52.91473202,70,S,IS
64.78585351,76.10226872,53.46943831,80,S,IS
66.50874429,77.16459233,55.85289625,90,S,IS
74.08759124,84.08899131,64.08619117,100,S,IS
6.12745098,11.59864753,0.656254433,0,U,IS
11.69596541,18.33339952,5.058531289,10,U,IS
14.41538651,23.50920184,5.321571175,20,U,IS
18.58733859,26.61783276,10.55684441,30,U,IS
24.61324839,34.11025713,15.11623965,40,U,IS
32.13204538,43.28198646,20.98210429,50,U,IS
38.89440583,50.18630006,27.6025116,60,U,IS
36.11971104,47.67733326,24.56208883,70,U,IS
32.17234262,42.87351561,21.47116963,80,U,IS
26.47058824,36.66014304,16.28103344,90,U,IS
25,35.54719125,14.45280875,100,U,IS
16.12903226,25.00794074,7.250123776,0,B,RL
19.59203036,29.00136389,10.18269683,10,B,RL
22.9876161,33.47606862,12.49916358,20,B,RL
30.20050125,40.88625165,19.51475086,30,B,RL
31.69622775,43.6053177,19.7871378,40,B,RL
32.21391541,43.20324677,21.22458405,50,B,RL
33.27392846,44.09895391,22.448903,60,B,RL
42.94172397,54.8595347,31.02391325,70,B,RL
48.37603287,60.23080665,36.52125909,80,B,RL
50.62838104,62.55601505,38.70074702,90,B,RL
49.22279793,61.2250914,37.22050446,100,B,RL
22.22222222,32.3184097,12.12603474,0,F,RL
44.14926204,56.43289615,31.86562793,10,F,RL
55.63074353,67.36966523,43.89182182,20,F,RL
57.23257419,69.30112659,45.16402179,30,F,RL
57.49231445,69.72242484,45.26220405,40,F,RL
61.24493499,72.83920919,49.6506608,50,F,RL
68.49131181,79.77509608,57.20752754,60,F,RL
70.30324558,80.89483187,59.71165928,70,F,RL
73.01634607,84.141223,61.89146915,80,F,RL
76.66149319,86.90605101,66.41693538,90,F,RL
84.84848485,93.4503541,76.24661559,100,F,RL
22.85714286,33.05883151,12.65545421,0,S,RL
30.58201058,42.59367857,18.5703426,10,S,RL
37.77777778,49.0359144,26.51964115,20,S,RL
42.14814815,54.39157385,29.90472244,30,S,RL
49.56108347,61.77079333,37.35137361,40,S,RL
51.41293532,63.46380285,39.3620678,50,S,RL
52.72366979,64.80869663,40.63864294,60,S,RL
54.69057942,66.68066579,42.70049306,70,S,RL
61.28780165,73.16998457,49.40561872,80,S,RL
66.58312779,77.60658366,55.55967192,90,S,RL
71.81818182,82.60713723,61.0292264,100,S,RL
10.45627376,17.79022376,3.122323768,0,U,RL
12.63499343,20.64529704,4.624689813,10,U,RL
12.48290217,21.01585742,3.949946925,20,U,RL
