Subject,B_JOL,F_JOL,S_JOL,U_JOL,B_Recall,F_Recall,S_Recall,U_Recall
5,77.9,82.25641026,45.85,35.45,37.5,70,62.5,20
6,88.8,81.85,101.5,27.9,22.5,42.5,32.5,2.5
7,78.15,81,90.7,41.225,57.5,77.5,75,20
8,61.625,53.125,66.65,21.55,12.5,40,50,2.5
17,86.92105263,87.425,79.6,49.6,52.5,87.5,85,15
18,33,42.425,60.1,33.75,42.5,80,87.5,30
19,100.375,96.525,94.1,65.675,75,90,87.5,15
20,43.75,50.30769231,50.9,47.7,60,87.5,80,0
29,77.925,84.775,82.9,67.875,72.5,92.5,95,30
30,70.6,64.05,35.75,30.05,80,90,95,32.5
31,74.3,75.45,86.925,31.675,70,85,100,30
32,42.4,47.8,48.925,22.625,52.5,77.5,70,10
41,54.275,56.225,88.675,29.5,62.5,90,85,5
42,65.875,57.55,63.875,49.95,75,95,92.5,45
43,81.51282051,80.275,69.6,57.8,70,80,90,5
44,26.25,22.925,15.4,62.625,37.5,87.5,72.5,20
53,47.6,48.35,38.025,39.625,50,72.5,60,0
54,62.025,68.675,88.275,91.4,40,62.5,65,2.5
55,106.075,102.575,85.175,73.7,77.5,77.5,90,15
56,90.85,90.2,103.3589744,57.775,72.5,97.5,92.5,7.5
65,92.175,94.65,61.675,69.1,60,70,72.5,0
66,39.5,41.5,47.5,8.9,80,95,95,30
67,83.1,78.9,97.45,43.28205128,85,72.5,80,20
68,61.85,64.5,63.75,65,65,82.5,85,17.5
77,61.075,60.125,72.725,37.075,77.5,65,90,15
78,55.85,55.575,54.9,53.23076923,82.5,95,90,12.5
79,99.02631579,97.9,97.48717949,93.1,40,65,55,2.5
80,77.05,77.025,67.35,24.3,55,95,80,5
89,69.5,60.1,83.325,29.95,37.5,60,50,5
,,,,,,,,
Mean,69.28742031,69.10479664,70.42917772,46.9444076,58.70689655,78.70689655,78.10344828,14.31034483
SD,20.78193486,19.79494832,22.22166401,20.8220836,18.91735656,15.00923361,16.60538817,11.93166091
SE,3.859108422,3.675829623,4.126459414,3.866563855,3.512864924,2.787144711,3.083543172,2.215653807
95%,7.563852508,7.204626062,8.087860452,7.578465156,6.885215252,5.462803634,6.043744616,4.342681462
Upper,76.85127282,76.3094227,78.51703817,54.52287276,65.5921118,84.16970019,84.14719289,18.65302629
Lower,61.7235678,61.90017058,62.34131727,39.36594245,51.8216813,73.24409292,72.05970366,9.967663365
