"Username","Condition.Description","Direction","Block","Version","Task","Score","Warning"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",0,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",0,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",100,"yes"
"w10064595","READ","U","1","sona","Recall",100,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",0,"yes"
"w981975_sha","READ","S","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
