"Subject","B_JOL","F_JOL","S_JOL","U_JOL","B_Recall","F_Recall","S_Recall","U_Recall"
13,55.4,53.925,42.85,25.1025641025641,55,91.6666666666667,72.5,30
14,54.1,47.325,45.225,20.3,57.5,82.5,92.5,25
15,93.7,89.5,91.55,45.125,40,52.5,65,2.5
16,75.55,68.375,79.725,50.55,50,80,85,37.5
25,93.35,73.4358974358974,94.8,72.675,20,45,50,15
26,33.3,28.325,13.85,12.3589743589744,12.5,47.5,37.5,10
27,81.425,88.35,60.8,40.175,52.5,75,80,15
28,75.375,84,80.45,8.475,32.5,80,85,17.5
37,45.325,49.35,26.025,14.575,62.5,85,80,20
38,70.575,70.175,61.4358974358974,50.325,17.5,55,52.5,20
39,82.075,78.675,84.175,36.8461538461538,42.5,40,57.5,5
40,62.4,65.6,56.75,25.8,35,75,87.5,10
49,20.7,32.825,26.6,28.425,27.5,67.5,55,5
50,68.8,73.375,98.15,48,25,72.5,72.5,20
51,32.25,13.95,17.95,10.925,47.5,55,67.5,27.5
52,62.1794871794872,66.375,70.975,23.5,15,37.5,47.5,7.5
61,89.325,87.2051282051282,72.0512820512821,46.425,50,62.5,72.5,7.5
62,72.6,70.425,86.3,42.55,30,87.5,70,22.5
63,33.4,30.5,33.9,12.9210526315789,52.5,37.5,42.5,5
64,39.575,31.075,26.05,26.325,15,60,52.5,2.5
73,61.525,51.65,28.5,20.925,45,65,55,7.5
74,37.1282051282051,30.3333333333333,55.475,4.48717948717949,35,87.5,77.5,10
75,35.4102564102564,44.35,32.225,2,60,72.5,77.5,7.5
76,20.225,22.625,9.15,9.3,17.5,32.5,32.5,5
85,64.775,74.05,80.35,10.6666666666667,35,77.5,55,20
86,43.875,41.05,43,11.075,25,70,60,5
87,12.6,18.5,10.775,17.675,32.5,35,40,7.5
88,85.15,87.7,93.35,49.875,65,95,92.5,42.5
