"Subject","B_JOL","F_JOL","S_JOL","U_JOL","B_Recall","F_Recall","S_Recall","U_Recall"
9,72.525,69.8,65.125,11.8,22.5,57.5,62.5,2.5
10,47.1621621621622,38.4615384615385,30.725,34.8205128205128,30,55,57.5,7.5
11,57.175,60.7,64.675,14.3,55,70,65,20
12,62.2,44.6,33.725,48.95,NA,NA,NA,NA
21,43.625,37.2,18.525,34.25,65,90,92.5,30
22,105.6,104.538461538462,105.75,79.3076923076923,52.5,95,90,45
23,63.175,63.375,71.375,44.25,77.5,85,92.5,55
24,19.975,31.75,25.9,28.05,NA,NA,NA,NA
33,63.1,68.425,62.475,58.175,37.5,75,70,20
34,90.675,89.425,90.45,77.375,62.5,97.5,90,67.5
35,81.775,73.85,31.2894736842105,63.775,72.5,77.5,75,50
36,65.2,77.325,65.4,34.475,NA,NA,NA,NA
45,92.25,95.125,92.175,58.35,77.5,95,97.5,62.5
46,57.1,56.875,69,22.95,75,97.5,97.5,65
47,44.1,48.725,15.7435897435897,38.3846153846154,65,77.5,72.5,22.5
48,48,39.525,53.025,47.55,NA,NA,NA,NA
57,82.05,80.7,90.175,49.9,62.5,95,87.5,47.5
58,51.525,28.825,18.8,37.6,22.5,50,55,17.5
59,49.8205128205128,51.175,41.55,40.8,40,45,50,2.5
60,47.375,63.175,66.175,43.625,NA,NA,NA,NA
69,72.45,54.4,55.05,19.6,62.5,85,85,20
70,96.825,90.55,83.65,57.425,72.5,100,95,55
71,69.275,69.95,74.025,42.325,47.5,57.5,65,25
72,36.425,38.125,30.8,16.975,NA,NA,NA,NA
81,49.45,46.55,59.375,41.725,20,75,55,7.5
82,50.875,45.65,43.975,37.025,52.5,77.5,72.5,50
84,52.6,54.7,70.275,5.825,NA,NA,NA,NA
90,74.125,65.05,88.225,38.175,62.5,92.5,85,45
91,58.45,66.05,53.825,49.075,85,100,100,87.5
92,49.675,50.275,46.625,47.925,15,65,57.5,5
93,33.55,29.625,33.975,33.775,22.5,50,60,7.5
94,84.3,91.05,85.625,47.425,45,87.5,55,30
95,64.75,53.1,55.05,37.95,60,87.5,92.5,57.5
96,84.8,75.725,70.725,17.3,50,82.5,80,27.5
97,23.65,31.2,24.8461538461538,20.875,52.5,92.5,67.5,20
98,49.625,61.925,60.4102564102564,7.125,27.5,50,47.5,2.5
99,69.425,74.425,80.3,27.7179487179487,42.5,72.5,82.5,37.5
100,60.725,64.725,74.125,32.1,27.5,55,45,12.5
