"ExperimentName","Subject","Block","list","Procedure.Block.","cue_target","Direction","ListNum","JOL","RT","Procedure.Trial.","Type","Procedure.Block..1","cue_target.1","ListNum.1","Response","Procedure.Trial..1","Type.1"
"RL_JOL D",90,1,3,"BlockProc1","Long - Extension","B",1,100,20398,"StudyProc3","JOL","BlockProc1","Long - ?",1,"extenstion","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Game - Clue","B",2,25,19598,"StudyProc3","JOL","BlockProc1","Game - ?",2,"clue","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Plant - Cactus","B",3,95,23194,"StudyProc3","JOL","BlockProc1","Plant - ?",3,"tree","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Tie - Shoelace","B",4,90,24567,"StudyProc3","JOL","BlockProc1","Tie - ?",4,"shoelace","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Mystery - Detective","B",5,99,33545,"StudyProc3","JOL","BlockProc1","Mystery - ?",5,"detective3","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","End - Adjourn","B",6,90,44167,"StudyProc3","JOL","BlockProc1","End - ?",6,"adjourn","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Dog - Furry","B",7,35,13147,"StudyProc3","JOL","BlockProc1","Dog - ?",7,"furry","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Trash - Litter","B",8,98,18311,"StudyProc3","JOL","BlockProc1","Trash - ?",8,"litter","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Red - Cherry","B",9,20,22019,"StudyProc3","JOL","BlockProc1","Red - ?",9,"cherry","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Head - Scalp","B",10,99,20213,"StudyProc3","JOL","BlockProc1","Head - ?",10,"scalp","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Car - Driver","B",11,90,17178,"StudyProc3","JOL","BlockProc1","Car - ?",11,"windsheild","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Cut - Chop","B",12,5,28734,"StudyProc3","JOL","BlockProc1","Cut - ?",12,"chop","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Donkey - Mule","B",13,65,16975,"StudyProc3","JOL","BlockProc1","Donkey - ?",13,"mule","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Paper - Document","B",14,45,27794,"StudyProc3","JOL","BlockProc1","Paper - ?",14,"document","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Smell - Incense","B",15,10,19210,"StudyProc3","JOL","BlockProc1","Smell - ?",15,"sense","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Eat - Dine","B",16,23,26345,"StudyProc3","JOL","BlockProc1","Eat - ?",16,"dine","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Scissors - Shears","B",17,50,18543,"StudyProc3","JOL","BlockProc1","Scissors - ?",17,"shears","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Fight - Feud","B",18,97,21726,"StudyProc3","JOL","BlockProc1","Fight - ?",18,"brawl","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Cold - Chill","B",19,34,35743,"StudyProc3","JOL","BlockProc1","Cold - ?",19,"chill","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Love - Affection","B",20,98,14089,"StudyProc3","JOL","BlockProc1","Love - ?",20,"most","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Flip - Turn","F",21,34,38541,"StudyProc3","JOL","BlockProc1","Flip - ?",21,"turn","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Windshield - Car","F",22,100,18376,"StudyProc3","JOL","BlockProc1","Windshield - ?",22,"car","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Villain - Bad","F",23,100,11208,"StudyProc3","JOL","BlockProc1","Villain - ?",23,"bad","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Penguin - Bird","F",24,10,41102,"StudyProc3","JOL","BlockProc1","Penguin - ?",24,"bird","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Actress - Star","F",25,67,38539,"StudyProc3","JOL","BlockProc1","Actress - ?",25,"star","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Thimble - Thread","F",26,30,22451,"StudyProc3","JOL","BlockProc1","Thimble - ?",26,"thread","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Revenge - Even","F",27,100,9864,"StudyProc3","JOL","BlockProc1","Revenge - ?",27,"even","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Balloon - Pop","F",28,98,17376,"StudyProc3","JOL","BlockProc1","Balloon - ?",28,"pop","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Strawberry - Fruit","F",29,10,20270,"StudyProc3","JOL","BlockProc1","Strawberry - ?",29,"fruit","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Favorite - Best","F",30,85,17585,"StudyProc3","JOL","BlockProc1","Favorite - ?",30,"best","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Panther - Cat","F",31,40,23668,"StudyProc3","JOL","BlockProc1","Panther - ?",31,"cat","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Breakable - Glass","F",32,25,30232,"StudyProc3","JOL","BlockProc1","Breakable - ?",32,"glass","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Coffin - Dead","F",33,100,11127,"StudyProc3","JOL","BlockProc1","Coffin - ?",33,"dead","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Aircraft - Plane","F",34,90,17199,"StudyProc3","JOL","BlockProc1","Aircraft - ?",34,"plane","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Sardine - Fish","F",35,25,20730,"StudyProc3","JOL","BlockProc1","Sardine - ?",35,"fish","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","League - Baseball","F",36,11,21671,"StudyProc3","JOL","BlockProc1","League - ?",36,"baseball","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Banker - Money","F",37,30,37191,"StudyProc3","JOL","BlockProc1","Banker - ?",37,"money","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Truthful - Honest","F",38,95,22098,"StudyProc3","JOL","BlockProc1","Truthful - ?",38,"hones","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Nap - Sleep","F",39,84,21041,"StudyProc3","JOL","BlockProc1","Nap - ?",39,"sleep","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Brawl - Fight","F",40,98,31666,"StudyProc3","JOL","BlockProc1","Brawl - ?",40,"fight","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Shave - Razor","S",41,87,18130,"StudyProc7","JOL","BlockProc1","Shave - ?",41,"hai","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Equal - Rights","S",42,99,30167,"StudyProc7","JOL","BlockProc1","Equal - ?",42,"rights","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Jar - Mason","S",43,80,22433,"StudyProc7","JOL","BlockProc1","Jar - ?",43,"mason","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Wax - Candle","S",44,99,13184,"StudyProc7","JOL","BlockProc1","Wax - ?",44,"candle","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Bracelet - Wrist","S",45,85,11192,"StudyProc7","JOL","BlockProc1","Bracelet - ?",45,"wrist","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Carbon - Element","S",46,85,27797,"StudyProc7","JOL","BlockProc1","Carbon - ?",46,"element","recallproc1","recall"
"RL_JOL D",90,1,3,"BlockProc1","Away - Gone","S",47,76,10781,"StudyProc7","JOL","BlockProc1","Away - ?",47,"gone","recallproc1","recall"
