"ExperimentName","Subject","Block","list","Procedure.Block.","cue_target","Direction","ListNum","JOL","RT","Procedure.Trial.","Type","Procedure.Block..1","cue_target.1","ListNum.1","Response","Procedure.Trial..1","Type.1"
"IS_JOL A",5,1,3,"BlockProc1","Delinquent - Bad","F",1,100,2920,"StudyProc7","JOL","BlockProc1","Delinquent - ?",1,"misbehave","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Digestion - Stomach","F",2,100,4859,"StudyProc7","JOL","BlockProc1","Digestion - ?",2,"stomach","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Wage - Money","F",3,100,2160,"StudyProc7","JOL","BlockProc1","Wage - ?",3,"money","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Chisel - Hammer","F",4,90,3127,"StudyProc7","JOL","BlockProc1","Chisel - ?",4,"hammer","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Editor - News","F",5,100,3999,"StudyProc7","JOL","BlockProc1","Editor - ?",5,"newspaper","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Hornet - Sting","F",6,100,3590,"StudyProc7","JOL","BlockProc1","Hornet - ?",6,"sting","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Bitter - Cold","F",7,10,4606,"StudyProc7","JOL","BlockProc1","Bitter - ?",7,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Root - Plant","F",8,100,3242,"StudyProc7","JOL","BlockProc1","Root - ?",8,"plant","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Swan - Bird","F",9,90,3031,"StudyProc7","JOL","BlockProc1","Swan - ?",9,"bird","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Paw - Dog","F",10,100,2072,"StudyProc7","JOL","BlockProc1","Paw - ?",10,"dog","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Way - Out","F",11,70,6922,"StudyProc7","JOL","BlockProc1","Way - ?",11,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Hygiene - Clean","F",12,100,3560,"StudyProc7","JOL","BlockProc1","Hygiene - ?",12,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Bridge - Water","F",13,50,3228,"StudyProc7","JOL","BlockProc1","Bridge - ?",13,"water","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Geology - Rock","F",14,100,2981,"StudyProc7","JOL","BlockProc1","Geology - ?",14,"rock","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Revolution - War","F",15,90,2308,"StudyProc7","JOL","BlockProc1","Revolution - ?",15,"war","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Discussion - Talk","F",16,100,3196,"StudyProc7","JOL","BlockProc1","Discussion - ?",16,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Herd - Cow","F",17,100,2170,"StudyProc7","JOL","BlockProc1","Herd - ?",17,"cow","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Credit - Card","F",18,100,1986,"StudyProc7","JOL","BlockProc1","Credit - ?",18,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Orchid - Flower","F",19,100,2495,"StudyProc7","JOL","BlockProc1","Orchid - ?",19,"flower","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Tuna - Fish","F",20,100,2936,"StudyProc7","JOL","BlockProc1","Tuna - ?",20,"fish","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Full - Enough","B",21,80,2550,"StudyProc7","JOL","BlockProc1","Full - ?",21,"enough","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Drink - Sip","B",22,90,2375,"StudyProc7","JOL","BlockProc1","Drink - ?",22,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Dark - Cave","B",23,100,1913,"StudyProc7","JOL","BlockProc1","Dark - ?",23,"light","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Take - Seize","B",24,0,3525,"StudyProc7","JOL","BlockProc1","Take - ?",24,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Height - Growth","B",25,100,5617,"StudyProc7","JOL","BlockProc1","Height - ?",25,"inches","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Sentence - Word","B",26,80,4120,"StudyProc7","JOL","BlockProc1","Sentence - ?",26,"word","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Bug - Wasp","B",27,100,3946,"StudyProc7","JOL","BlockProc1","Bug - ?",27,"spider","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Math - Division","B",28,100,4130,"StudyProc7","JOL","BlockProc1","Math - ?",28,"problm","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Law - Attorney","B",29,100,2089,"StudyProc7","JOL","BlockProc1","Law - ?",29,"attorney","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Great - Fantastic","B",30,100,2163,"StudyProc7","JOL","BlockProc1","Great - ?",30,"","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Key - Latch","B",31,50,6453,"StudyProc7","JOL","BlockProc1","Key - ?",31,"latch","recallproc1","recall"
"IS_JOL A",5,1,3,"BlockProc1","Hot - Chili","B",32,20,4991,"StudyProc7","JOL","BlockProc1","Hot - ?",32,"chili","recallproc1","recall"
