ExperimentName,Subject,Block,list,Procedure[Block],cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,pword8.RESP,pword8.RT,pword9.RESP,pword9.RT,pword10.RESP,pword10.RT,Procedure[Trial]
IS_JOL A,17,1,,BlockProc1,Chime-Music,,8,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Paddle-Row,,4,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Chocolate-Bar,,7,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Fashion-Model,,10,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Disbelieve-Skeptic,,6,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Ham-Bone,,3,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Deaf-Mute,,2,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Aardvark-Zoo,,1,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Behavior-Social,,9,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,,BlockProc1,Hinge-Swing,,5,,,,,,,,,,,,,,Practice1
IS_JOL A,17,1,3,BlockProc1,Curtain - Drapes,,2,,,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Snow - Ice,,3,,,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Haircut-Scissors,,1,,,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Member - Group,,5,,,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Shrimp - Fish,,4,,,,,,,,,,,,,,StudyProc1
IS_JOL A,17,1,3,BlockProc1,Choice - Decision,S,57,40,25622,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Happy - Car,U,72,10,17420,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Cash - Would,U,78,10,17865,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Sugar - Riddle,U,76,10,17012,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Honey - Bee,S,58,90,23547,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Number - Amount,S,42,90,13085,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Location - Site,S,43,80,17140,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Dump - Waste,S,44,80,20069,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Bathroom - Toilet,S,53,80,13886,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Wine - Cheese,S,52,80,13988,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Architecture - Design,S,46,70,26790,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Baby - Child,S,59,80,15148,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Artery - Bronze,U,69,10,14359,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Machine - Position,U,71,50,27010,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Valley - Add,U,77,20,8087,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Pusher - Clutter,U,61,20,8875,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Lettuce - Salad,S,54,80,12239,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Allow - Tuck,U,73,20,6273,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Dietary - Sacking,U,62,10,10295,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Art - Lion,U,74,20,12464,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Debate - Sight,U,68,10,12456,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,King - Vase,U,80,10,6745,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Begin - End,S,49,100,7052,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Blow - Wind,S,50,100,8946,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Kidney - Liver,S,48,100,17595,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Hide - Sick,U,79,80,18753,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Shoe - Foot,S,55,100,10744,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Circle - Round,S,60,100,7864,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Death - Business,U,67,30,21004,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Lift - Woman,U,64,20,7263,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Trial - Jury,S,45,100,12436,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Soon - Belt,U,65,10,9325,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Discover - Floor,U,66,10,11447,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Grill - Bar,S,47,100,12770,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Past - Future,S,56,100,5980,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Strong - Accident,U,75,10,11502,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Fix - Hand,U,70,80,12022,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Park - Hungry,U,63,70,10217,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Pop - Soda,S,51,100,10909,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Due - Assignment,S,41,100,10966,,,,,,,,,,,,StudyProc3
IS_JOL A,17,1,3,BlockProc1,Editor - News,F,5,,,,,,,,,,100,19676,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Sleep - Drowsy,B,36,,,,,,,,,,100,18805,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Credit - Card,F,18,,,,,,,,,,80,26497,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Hornet - Sting,F,6,,,,,,,,,,70,18835,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Height - Growth,B,25,,,,,,,,,,80,13615,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Plane - Pilot,B,39,,,,,,,,,,100,17888,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Tuna - Fish,F,20,,,,,,,,,,100,11330,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Take - Seize,B,24,,,,,,,,,,70,20777,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Hygiene - Clean,F,12,,,,,,,,,,70,19708,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Geology - Rock,F,14,,,,,,,,,,80,17540,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Smell - Stench,B,37,,,,,,,,,,90,10957,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Sentence - Word,B,26,,,,,,,,,,100,8051,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Drink - Sip,B,22,,,,,,,,,,90,15520,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Chisel - Hammer,F,4,,,,,,,,,,100,21123,,,StudyProc7
IS_JOL A,17,1,3,BlockProc1,Math - Division,B,28,,,,,,,,,,90,10313,,,StudyProc7
